"Table 1.12 Factors affecting occupational utilization, projected 2021-31",,,,
2020 National Employment Matrix occupation title,2021 National Empoyment Matrix occupation code,2021 National Employment Matrix industry title,2021 National Empoyment Matrix industry code,Factors affecting occupational utilization
Pharmacists,29-1051,Offices of physicians,621100,Demand change - share increases as pharmacists’ roles in health care delivery expand and providers increasingly integrate pharmacists into team-based models of care.
Pharmacists,29-1051,General medical and surgical hospitals; private,622105,Demand change - share increases as pharmacists’ roles in health care delivery expand and providers increasingly integrate pharmacists into team-based models of care. The growth of the specialty drug market will support this trend further within hospitals.
Pharmacists,29-1051,General medical and surgical hospitals; state,622102,Demand change - share increases as pharmacists’ roles in health care delivery expand and providers increasingly integrate pharmacists into team-based models of care. The growth of the specialty drug market will support this trend further within hospitals.
Pharmacists,29-1051,General medical and surgical hospitals; local,622103,Demand change - share increases as pharmacists’ roles in health care delivery expand and providers increasingly integrate pharmacists into team-based models of care. The growth of the specialty drug market will support this trend further within hospitals.
Physician assistants,29-1071,Offices of physicians,621100,Occupational substitution - share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners.
Physician assistants,29-1071,General medical and surgical hospitals; private,622105,"Occupational substitution - share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners. Also, advances in technologies will slow the growth of other administrative and support occupations relative to all professional healthcare providers."
Physician assistants,29-1071,General medical and surgical hospitals; state,622102,"Occupational substitution - share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners. Also, advances in technologies will slow the growth of other administrative and support occupations relative to all professional healthcare providers."
Physician assistants,29-1071,General medical and surgical hospitals; local,622103,"Occupational substitution - share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners. Also, advances in technologies will slow the growth of other administrative and support occupations relative to all professional healthcare providers."
Podiatrists,29-1081,Offices of all other health practitioners,621390,Occupational substitution - share decreases as team-care models grow in popularity.
Occupational therapists,29-1122,Specialty (except psychiatric and substance abuse) hospitals; local,622303,Demand change - share increases as more local specialty hospitals transition to team-based models of care and occupational therapy services are increasingly needed to help patients rehabilitate injuries and adapt daily activities that allow them to maintain their independence.
Physical therapists,29-1123,Specialty (except psychiatric and substance abuse) hospitals; local,622303,Demand change - share increases as more local specialty hospitals transition to team-based models of care and physical therapy services are increasingly needed to help patients rehabilitate injuries and manage chronic pain without the use of pharmaceuticals.
Recreational therapists,29-1125,General medical and surgical hospitals; private,622105,Occupational substitution - share decreases as general medical hospitals employ other therapy providers in place of recreational therapists.
Recreational therapists,29-1125,General medical and surgical hospitals; state,622102,Occupational substitution - share decreases as general medical hospitals employ other therapy providers in place of recreational therapists.
Recreational therapists,29-1125,General medical and surgical hospitals; local,622103,Occupational substitution - share decreases as general medical hospitals employ other therapy providers in place of recreational therapists.
Respiratory therapists,29-1126,Total employment,TE1000,Demand change - share increases as the demand for respiratory care services grows. Respiratory therapists will be increasingly needed across hospital and non-hospital settings to treat a wide variety of conditions and patients.
Speech-language pathologists,29-1127,Total employment,TE1000,"Demand change - share increases as an aging population, higher autism-spectrum and special needs, and expanded service provision at schools increases demand for speech-language pathologists."
Registered nurses,29-1141,Other insurance related activities,524290,Demand change - share increases as third party administrator companies increasingly employ registered nurses to manage complex workers compensation and medical benefits for other companies.
Registered nurses,29-1141,Temporary help services,561320,Demand change - share increases as hospitals and other healthcare facilities increasingly use temporary help services to staff some of temporary their positions for registered nurses.
Nurse anesthetists,29-1151,Total employment,TE1000,Occupational substitution - share increases as advances in the practice of anesthesiology are effectively increasing the portion of routine cases compared to complicated cases which require anesthesiologists.
Nurse practitioners,29-1171,Offices of physicians,621100,Occupational substitution - share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners.
Nurse practitioners,29-1171,Offices of all other health practitioners,621390,Occupational substitution - share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners.
Nurse practitioners,29-1171,General medical and surgical hospitals; private,622105,Occupational substitution - share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners.
Nurse practitioners,29-1171,General medical and surgical hospitals; state,622102,Occupational substitution - share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners.
Nurse practitioners,29-1171,General medical and surgical hospitals; local,622103,Occupational substitution - share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners.
Anesthesiologists,29-1211,Total employment,TE1000,"Occupational substitution - share decreases as improvements to surgical, non-surgical, and post-operative care and techniques improve and become more procedural, allowing for providing institutions to utilize nurse anesthetists at greater rates."
General internal medicine physicians,29-1216,Offices of physicians,621100,"Occupational substitution, sourcing change - share decreases as care teams (including nurses, physicians assistants, and other care professionals) are expected to become larger and more diverse. Internists are also expected to increasingly work for hospitals."
Obstetricians and gynecologists,29-1218,Offices of physicians,621100,"Occupational substitution - share decreases as care teams (including nurses, physicians assistants, and other care professionals) are expected to become larger and more diverse."
"Pediatricians, general",29-1221,Offices of physicians,621100,"Demand change, occupational substitution - share decreases as the portion of the national population under 18 continues to fall, and team-based care models grow."
Psychiatrists,29-1223,Offices of physicians,621100,Demand change - share increases as demand for psychiatric care increases and access to treatment improves.
Psychiatrists,29-1223,General medical and surgical hospitals; private,622105,Demand change - share increases as demand for psychiatric care increases and access to treatment improves.
Psychiatrists,29-1223,"State government, excluding education and hospitals",999200,Demand change - share increases as demand for psychiatric care increases and access to treatment improves.
Psychiatrists,29-1223,"Local government, excluding education and hospitals",999300,Demand change - share increases as demand for psychiatric care increases and access to treatment improves.
"Orthopedic surgeons, except pediatric",29-1242,Offices of physicians,621100,Sourcing change - share decreases as surgeons increasingly become employed by hospitals and larger financial entities which are more efficient at dealing with risk.
Pediatric surgeons,29-1243,Offices of physicians,621100,Sourcing change - share decreases as surgeons increasingly become employed by hospitals and larger financial entities which are more efficient at dealing with risk.
"Surgeons, all other",29-1249,Offices of physicians,621100,Sourcing change - share decreases as surgeons increasingly become employed by hospitals and larger financial entities which are more efficient at dealing with risk.
Dental hygienists,29-1292,"Federal government, excluding postal service",999100,Occupational substitution - share increases as the expanding scope of practice of hygienists allows them to take on tasks previously performed by dentists.
Dental hygienists,29-1292,"State government, excluding education and hospitals",999200,Occupational substitution - share increases as the expanding scope of practice of hygienists allows them to take on tasks previously performed by dentists.
Dental hygienists,29-1292,"Local government, excluding education and hospitals",999300,Occupational substitution - share increases as the expanding scope of practice of hygienists allows them to take on tasks previously performed by dentists.
Clinical laboratory technologists and technicians,29-2010,Offices of physicians,621100,Sourcing change - share decreases as physicians’ offices send more lab work to medical and diagnostic laboratories instead of doing it in-house.
Diagnostic medical sonographers,29-2032,Offices of physicians,621100,Demand change - share increases as sonographers are used to save on costs for non-invasive imaging. Ultrasound imaging will increasingly be used to initially screen patients to determine the extent or type of treatment needed.
Diagnostic medical sonographers,29-2032,Medical and diagnostic laboratories,621500,Demand change - share increases as sonographers are used to save on costs for non-invasive imaging. Ultrasound imaging will increasingly be used to initially screen patients to determine the extent or type of treatment needed.
Diagnostic medical sonographers,29-2032,General medical and surgical hospitals; private,622105,Demand change - share increases as sonographers are used to save on costs for non-invasive imaging. Ultrasound imaging will increasingly be used to initially screen patients to determine the extent or type of treatment needed.
Diagnostic medical sonographers,29-2032,General medical and surgical hospitals; state,622102,Demand change - share increases as sonographers are used to save on costs for non-invasive imaging. Ultrasound imaging will increasingly be used to initially screen patients to determine the extent or type of treatment needed.
Diagnostic medical sonographers,29-2032,General medical and surgical hospitals; local,622103,Demand change - share increases as sonographers are used to save on costs for non-invasive imaging. Ultrasound imaging will increasingly be used to initially screen patients to determine the extent or type of treatment needed.
Radiologic technologists and technicians,29-2034,Offices of physicians,621100,Sourcing change - share increases as government and insurance policy changes steer patient demand for imaging procedures to non-hospital settings.
Radiologic technologists and technicians,29-2034,Medical and diagnostic laboratories,621500,Sourcing change - share increases as government and insurance policy changes steer patient demand for imaging procedures to non-hospital settings.
Radiologic technologists and technicians,29-2034,General medical and surgical hospitals; private,622105,Sourcing change - share decreases as government and insurance policy changes steer patient demand for imaging procedures away from hospital settings.
Radiologic technologists and technicians,29-2034,General medical and surgical hospitals; state,622102,Sourcing change - share decreases as government and insurance policy changes steer patient demand for imaging procedures away from hospital settings.
Radiologic technologists and technicians,29-2034,General medical and surgical hospitals; local,622103,Sourcing change - share decreases as government and insurance policy changes steer patient demand for imaging procedures away from hospital settings.
Radiologic technologists and technicians,29-2034,Specialty (except psychiatric and substance abuse) hospitals; private,622305,Sourcing change - share decreases as government and insurance policy changes steer patient demand for imaging procedures away from hospital settings.
Radiologic technologists and technicians,29-2034,Specialty (except psychiatric and substance abuse) hospitals; state,622302,Sourcing change - share decreases as government and insurance policy changes steer patient demand for imaging procedures away from hospital settings.
Magnetic resonance imaging technologists,29-2035,Offices of physicians,621100,Sourcing change - share increases as government and insurance policy changes steer patient demand for imaging procedures to non-hospital settings.
Magnetic resonance imaging technologists,29-2035,Medical and diagnostic laboratories,621500,Sourcing change - share increases as government and insurance policy changes steer patient demand for imaging procedures to non-hospital settings.
Magnetic resonance imaging technologists,29-2035,General medical and surgical hospitals; private,622105,Sourcing change - share decreases as government and insurance policy changes steer patient demand for imaging procedures away from hospital settings.
Magnetic resonance imaging technologists,29-2035,General medical and surgical hospitals; state,622102,Sourcing change - share decreases as government and insurance policy changes steer patient demand for imaging procedures away from hospital settings.
Magnetic resonance imaging technologists,29-2035,General medical and surgical hospitals; local,622103,Sourcing change - share decreases as government and insurance policy changes steer patient demand for imaging procedures away from hospital settings.
Magnetic resonance imaging technologists,29-2035,Specialty (except psychiatric and substance abuse) hospitals; private,622305,Sourcing change - share decreases as government and insurance policy changes steer patient demand for imaging procedures away from hospital settings.
Magnetic resonance imaging technologists,29-2035,Specialty (except psychiatric and substance abuse) hospitals; state,622302,Sourcing change - share decreases as government and insurance policy changes steer patient demand for imaging procedures away from hospital settings.
Medical dosimetrists,29-2036,Total employment,TE1000,Occupational substitution - share decreases as the number of respiratory therapy technicians decreases because these workers are no longer credentialed separately from respiratory therapists.
Medical dosimetrists,29-2036,General medical and surgical hospitals; state,622102,Occupational substitution - share decreases as the number of respiratory therapy technicians decreases because these workers are no longer credentialed separately from respiratory therapists.
Medical dosimetrists,29-2036,General medical and surgical hospitals; local,622103,Occupational substitution - share decreases as the number of respiratory therapy technicians decreases because these workers are no longer credentialed separately from respiratory therapists.
Emergency medical technicians,29-2042,Ambulance services,621910,Occupational substitution - share increases as emergency medical technicians increasingly take on the tasks of ambulance drivers and attendants as part of their now standard set of duties and responsibilities. Employer expectations regarding the ability to drive an ambulance will also contribute to this trend.
Emergency medical technicians,29-2042,"Local government, excluding education and hospitals",999300,Occupational substitution - share increases as emergency medical technicians increasingly take on the tasks of ambulance drivers and attendants as part of their now standard set of duties and responsibilities. Employer expectations regarding the ability to drive an ambulance will also contribute to this trend.
Paramedics,29-2043,Ambulance services,621910,Occupational substitution - share increases as paramedics increasingly take on the tasks of ambulance drivers and attendants as part of their now standard set of duties and responsibilities. Employer expectations regarding the ability to drive an ambulance will also contribute to this trend.
Paramedics,29-2043,"Local government, excluding education and hospitals",999300,Occupational substitution - share increases as emergency medical technicians increasingly take on the tasks of ambulance drivers and attendants as part of their now standard set of duties and responsibilities. Employer expectations regarding the ability to drive an ambulance will also contribute to this trend.
Pharmacy technicians,29-2052,Grocery and specialty food stores,4450A1,"Occupational substitution, demand change - share increases as pharmacy technicians expand their role, taking on some of the tasks performed by pharmacists (with the loosening of pharmacist-to-technician ratios across states likely supporting this trend further). This will be partially offset by lower demand due to the consolidation of the retail pharmacy industry and patient use of mail-order/online pharmacies."
Pharmacy technicians,29-2052,General merchandise stores,452000,"Occupational substitution, demand change - share increases as pharmacy technicians expand their role, taking on some of the tasks performed by pharmacists (with the loosening of pharmacist-to-technician ratios across states likely supporting this trend further). This will be partially offset by lower demand due to the consolidation of the retail pharmacy industry and patient use of mail-order/online pharmacies."
Pharmacy technicians,29-2052,Pharmacies and drug stores,446110,"Occupational substitution - share increases as pharmacy technicians expand their role, taking on some of the tasks performed by pharmacists. The loosening of pharmacist-to-technician ratios across states is likely to support this trend further."
Pharmacy technicians,29-2052,Electronic shopping and mail-order houses,454100,"Demand change - share increases as demand for mail-order/online pharmacy services grows, increasing the need for pharmacy technicians to dispense medications."
Ophthalmic medical technicians,29-2057,Offices of physicians,621100,"Occupational substitution - share increases as offices of physicians increasingly employ ophthalmic medical technicians who can perform a variety of patient care tasks, allowing ophthalmologists to examine more patients and do other more complex tasks."
Ophthalmic medical technicians,29-2057,Offices of optometrists,621320,"Occupational substitution - share increases as offices of optometrists increasingly employ ophthalmic medical technicians who can perform a variety of patient care tasks, allowing optometrists to examine more patients and do other more complex tasks."
Medical records specialists,29-2072,Total employment,TE1000,Occupational substitution - share decreases as the number of respiratory therapy technicians decreases because these workers are no longer credentialed separately from respiratory therapists.
Medical records specialists,29-2072,General medical and surgical hospitals; state,622102,Occupational substitution - share decreases as the number of respiratory therapy technicians decreases because these workers are no longer credentialed separately from respiratory therapists.
Medical records specialists,29-2072,General medical and surgical hospitals; local,622103,Occupational substitution - share decreases as the number of respiratory therapy technicians decreases because these workers are no longer credentialed separately from respiratory therapists.
Orthotists and prosthetists,29-2091,Medical equipment and supplies manufacturing,339100,Demand change - share increases as an aging population and rise in age-related illnesses combined with an increasing prevalence of obesity and diabetes as well as other health issues and amputations will translate into a greater need for orthotic and prosthetic services.
Hearing aid specialists,29-2092,General merchandise stores,452000,Demand change - share increases as an aging population increases the demand for hearing aids. Retailers will increasingly employ hearing aid specialists to dispense these devices.
"Health technologists and technicians, all other",29-2099,Total employment,TE1000,Occupational substitution - share decreases as the number of respiratory therapy technicians decreases because these workers are no longer credentialed separately from respiratory therapists.
"Health technologists and technicians, all other",29-2099,General medical and surgical hospitals; state,622102,Occupational substitution - share decreases as the number of respiratory therapy technicians decreases because these workers are no longer credentialed separately from respiratory therapists.
"Health technologists and technicians, all other",29-2099,General medical and surgical hospitals; local,622103,Occupational substitution - share decreases as the number of respiratory therapy technicians decreases because these workers are no longer credentialed separately from respiratory therapists.
Health information technologists and medical registrars,29-9021,Total employment,TE1000,"Demand change - share increases as larger amounts of health data are generated over the coming years. Organizations across all industries, especially those tied to healthcare, will need technologists and registrars to process the data to support operational and clinical decision-making."
Health information technologists and medical registrars,29-9021,General medical and surgical hospitals; state,622102,Occupational substitution - share decreases as the number of respiratory therapy technicians decreases because these workers are no longer credentialed separately from respiratory therapists.
Health information technologists and medical registrars,29-9021,General medical and surgical hospitals; local,622103,Occupational substitution - share decreases as the number of respiratory therapy technicians decreases because these workers are no longer credentialed separately from respiratory therapists.
Athletic trainers,29-9091,"Colleges, universities, and professional schools; private",611305,Demand change - share increases as the demand for athletic health care grows. Colleges and universities will increasingly hire athletic trainers to help student athletes prevent and recover from injuries as well as perform at their highest level.
Athletic trainers,29-9091,"Colleges, universities, and professional schools; state",611302,Demand change - share increases as the demand for athletic health care grows. Colleges and universities will increasingly hire athletic trainers to help student athletes prevent and recover from injuries as well as perform at their highest level.
Athletic trainers,29-9091,Offices of physicians,621100,Demand change - share increases as financial constraints faced by academic institutions prompt them to contract athletic trainer services with physicians#39; offices to meet their athletic health care needs.
Athletic trainers,29-9091,"Offices of physical, occupational and speech therapists, and audiologists",621340,Demand change - share increases as financial constraints faced by academic institutions prompt them to contract athletic trainer services with clinics to meet their athletic health care needs.
Athletic trainers,29-9091,General medical and surgical hospitals; private,622105,Demand change - share increases as financial constraints faced by academic institutions prompt them to contract athletic trainer services with hospitals to meet their athletic health care needs.
Athletic trainers,29-9091,General medical and surgical hospitals; local,622103,Demand change - share increases as financial constraints faced by academic institutions prompt them to contract athletic trainer services with hospitals to meet their athletic health care needs.
Genetic counselors,29-9092,Total employment,TE1000,Demand change - share increases as the number and quality of genetic tests is increasing while costs are decreasing.
Home health and personal care aides,31-1120,Continuing care retirement communities and assisted living facilities for the elderly,623300,"Demand change - share increases as growing demand for long-term care services primarily flows to home-and community-based settings rather than institutional settings, translating into a greater need for aides specifically."
Home health and personal care aides,31-1120,Private households,814000,"Demand change - share increases as growing demand for long-term care services primarily flows to home-and community-based settings rather than institutional settings, translating into a greater need for aides specifically."
Occupational therapy assistants,31-2011,"Offices of physical, occupational and speech therapists, and audiologists",621340,Demand change - share increases as adjustments continue to be made in business and payment models which attempt to increase the supply of occupational therapy services to meet excess demand.
Occupational therapy assistants,31-2011,Home healthcare services,621600,Demand change - share increases as home health care facilities increasingly attempt to leverage their occupational therapy workforce.
Occupational therapy assistants,31-2011,Specialty (except psychiatric and substance abuse) hospitals; local,622303,Demand change - share increases as more local specialty hospitals transition to team-based models of care and occupational therapy services are increasingly needed to help patients rehabilitate injuries and adapt daily activities that allow them to maintain their independence.
Occupational therapy assistants,31-2011,Nursing care facilities (skilled nursing facilities),623100,Demand change - share increases as nursing care facilities increasingly attempt to leverage their occupational therapy workforce.
Physical therapist assistants,31-2021,"Offices of physical, occupational and speech therapists, and audiologists",621340,Demand change - share increases as physical therapists increasingly attempt to leverage their own labor and continue to react to rule changes and business trends.
Physical therapist assistants,31-2021,Home healthcare services,621600,Demand change - share increases as home health care facilities increasingly attempt to leverage their physical therapy workforce.
Physical therapist assistants,31-2021,Specialty (except psychiatric and substance abuse) hospitals; local,622303,Demand change - share increases as more local specialty hospitals transition to team-based models of care and physical therapy services are increasingly in needed to help patients rehabilitate injuries and manage chronic pain without the use of pharmaceuticals.
Physical therapist assistants,31-2021,Nursing care facilities (skilled nursing facilities),623100,Demand change - share increases as nursing care facilities increasingly attempt to leverage their physical therapy workforce.
Massage therapists,31-9011,Offices of chiropractors,621310,Demand change - share increases as offices of chiropractors continue to hire massage therapists to offer therapy services.
Massage therapists,31-9011,Offices of all other health practitioners,621390,"Demand change - share increases as massage gains more acceptance as a form of pain relief, and is increasingly used to help maintain overall wellness."
Massage therapists,31-9011,Personal care services,812100,"Demand change - share increases as massage gains more acceptance as a form of pain relief, and is increasingly used to help maintain overall wellness."
Medical assistants,31-9092,Offices of physicians,621100,"Occupational substitution - share increases as healthcare providers increasingly adopt team-based provision models, and delegate administrative duties and other basic tasks from physicians to assistants."
Medical assistants,31-9092,General medical and surgical hospitals; private,622105,"Occupational substitution - share increases as healthcare providers increasingly adopt team-based provision models, and delegate administrative duties and other basic tasks from physicians to assistants."
Medical assistants,31-9092,General medical and surgical hospitals; state,622102,"Occupational substitution - share increases as healthcare providers increasingly adopt team-based provision models, and delegate administrative duties and other basic tasks from physicians to assistants."
Medical assistants,31-9092,General medical and surgical hospitals; local,622103,"Occupational substitution - share increases as healthcare providers increasingly adopt team-based provision models, and delegate administrative duties and other basic tasks from physicians to assistants."
Medical assistants,31-9092,Nursing care facilities (skilled nursing facilities),623100,"Occupational substitution - share increases as healthcare providers increasingly adopt team-based provision models, and delegate administrative duties and other basic tasks from physicians to assistants."
Medical assistants,31-9092,Continuing care retirement communities and assisted living facilities for the elderly,623300,"Occupational substitution - share increases as healthcare providers increasingly adopt team-based provision models, and delegate administrative duties and other basic tasks from physicians to assistants."
Medical transcriptionists,31-9094,Offices of physicians,621100,Sourcing change - share decreases as transcription services are moved out of traditional healthcare settings to third-party providers.
Medical transcriptionists,31-9094,Medical and diagnostic laboratories,621500,Sourcing change - share decreases as transcription services are moved out of traditional healthcare settings to third-party providers.
Medical transcriptionists,31-9094,General medical and surgical hospitals; private,622105,Sourcing change - share decreases as transcription services are moved out of traditional healthcare settings to third-party providers.
Medical transcriptionists,31-9094,General medical and surgical hospitals; state,622102,"Sourcing change - share decreases as transcription services are moved out of traditional healthcare settings to third-party providers, including offshoring."
Medical transcriptionists,31-9094,General medical and surgical hospitals; local,622103,Sourcing change - share decreases as transcription services are moved out of traditional healthcare settings to third-party providers.
Pharmacy aides,31-9095,Grocery and specialty food stores,4450A1,Demand change - share decreases as consolidation of the retail pharmacy industry and patient use of mail-order/online pharmacies dampen demand for pharmacy aides in retail settings.
Pharmacy aides,31-9095,General merchandise stores,452000,Demand change - share decreases as consolidation of the retail pharmacy industry and patient use of mail-order/online pharmacies dampen demand for pharmacy aides in retail settings.
First-line supervisors of correctional officers,33-1011,Facilities support services,561200,Demand change - share decreases as states reduce their reliance on private prisons.
First-line supervisors of correctional officers,33-1011,"State government, excluding education and hospitals",999200,Demand change - share decreases as states seek to reduce prison populations.
First-line supervisors of correctional officers,33-1011,"Local government, excluding education and hospitals",999300,Demand change - share decreases as states seek to reduce prison populations.
First-line supervisors of security workers,33-1091,Total employment,TE1000,Demand change - share decreases as fewer security guards require proportionately fewer first-line supervisors.
"First-line supervisors of protective service workers, all other",33-1099,Total employment,TE1000,Demand change - share decreases as fewer security guards require proportionately fewer first-line supervisors.
Firefighters,33-2011,Forestry,1131-2,Demand change - share increases as more frequent and severe wildfires will increase the demand for fire suppression.
Forest fire inspectors and prevention specialists,33-2022,Total employment,TE1000,Demand change - share increases as increasingly destructive wild land fires will increase the demand for fire prevention.
Bailiffs,33-3011,Total employment,TE1000,Demand change - share decreases as caseloads continue to decline and courts consolidate.
Correctional officers and jailers,33-3012,Facilities support services,561200,"Demand change - share decreases as prison populations, and the reliance on private prisons, are expected to decline."
Correctional officers and jailers,33-3012,"State government, excluding education and hospitals",999200,Demand change - share decreases as state governments seek to reduce prison populations.
Correctional officers and jailers,33-3012,"Local government, excluding education and hospitals",999300,Demand change - share decreases as state governments seek to reduce prison populations.
Parking enforcement workers,33-3041,Total employment,TE1000,Productivity change - share decreases as cities continue to adopt automated license plate readers.
Security guards,33-9032,Total employment,TE1000,"Productivity change - share decreases as improvements in remote sensing, including drones and autonomous robots, allow security guards to patrol larger areas."
Security guards,33-9032,Spectator sports,711200,Productivity change - share decreases as improvements in remote sensing and autonomous robots allow security guards to patrol larger areas.
Security guards,33-9032,Amusement parks and arcades,713100,Productivity change - share decreases as improvements in remote sensing and autonomous robots allow security guards to patrol larger areas.
Security guards,33-9032,Gambling industries (except casino hotels),713200,Productivity change - share decreases as improvements in remote sensing and autonomous robots allow security guards to patrol larger areas.
Chefs and head cooks,35-1011,Motion picture and video exhibition,512130,Demand change - share increases as traditional movie theaters continue to expand their food and beverage offerings and the number of luxury or boutique movie theaters continues to increase.
Chefs and head cooks,35-1011,Continuing care retirement communities and assisted living facilities for the elderly,623300,Demand change - share increases as more senior living facilities hire chefs and head cooks to improve food options at their facilities.
First-line supervisors of food preparation and serving workers,35-1012,Elementary and secondary schools; local,611103,Sourcing change - share decreases as schools continue to outsource food preparation services.
First-line supervisors of food preparation and serving workers,35-1012,General medical and surgical hospitals; private,622105,Sourcing change - share decreases as hospitals continue to outsource food preparation services.
First-line supervisors of food preparation and serving workers,35-1012,General medical and surgical hospitals; local,622103,Sourcing change - share decreases as hospitals continue to outsource food preparation services.
First-line supervisors of food preparation and serving workers,35-1012,Nursing care facilities (skilled nursing facilities),623100,Sourcing change - share decreases as nursing care facilities continue to outsource food preparation services.
First-line supervisors of food preparation and serving workers,35-1012,Continuing care retirement communities and assisted living facilities for the elderly,623300,Sourcing change - share decreases as facilities continue to outsource food preparation services.
"Cooks, fast food",35-2011,Full-service restaurants,722511,Occupational substitution - share decreases as restaurants hire fast food and counter workers instead of fast food cooks.
"Cooks, restaurant",35-2014,Total employment,TE1000,Demand change - share increases as consumers demand more high-quality healthy food options.
"Cooks, restaurant",35-2014,Fitness and recreational sports centers,713940,Demand change - share decreases as fitness consumers choose to get their food from sources outside of the gym café.
"Cooks, restaurant",35-2014,Drinking places (alcoholic beverages),722400,Demand change - share increases as consumers demand more high-quality healthy food options.
"Cooks, short order",35-2015,Motion picture and video exhibition,512130,"Demand change - share increases as movie theaters increasingly expand concessions offerings and services to include meals, beverages, and full restaurant services."
"Cooks, short order",35-2015,Full-service restaurants,722511,Demand change - share decreases as restaurants continue to prefer restaurant cooks over short order cooks due to a greater skill set.
"Cooks, all other",35-2019,Motion picture and video exhibition,512130,Demand change - share increases as traditional movie theaters continue to expand their food and beverage offerings and the number of luxury or boutique movie theaters continues to increase.
Food preparation workers,35-2021,Grocery and specialty food stores,4450A1,Demand change - share increases as grocery stores include more in-store prepared food. The change is moderated by work being performed by fast food and counter workers.
Food preparation workers,35-2021,Gasoline stations,447000,Demand change - share increases as prepared food offerings increase in popularity. This demand will be moderated by competition with fast food and counter workers.
Food preparation workers,35-2021,Elementary and secondary schools; local,611103,Sourcing change - share decreases as schools continue to outsource food preparation.
Food preparation workers,35-2021,General medical and surgical hospitals; private,622105,Sourcing change - share decreases as more hospitals outsource food service.
Food preparation workers,35-2021,General medical and surgical hospitals; local,622103,Sourcing change - share decreases as hospitals continue to outsource food preparation services.
Food preparation workers,35-2021,Nursing care facilities (skilled nursing facilities),623100,Sourcing change - share decreases as food service is outsourced.
Food preparation workers,35-2021,Continuing care retirement communities and assisted living facilities for the elderly,623300,Sourcing change - share decreases as food service is outsourced.
Food preparation workers,35-2021,Special food services,722300,Sourcing change - share increases as schools and other institutions continue to outsource food preparation to special food services contractors.
Food preparation workers,35-2021,Full-service restaurants,722511,Occupational substitution - share decreases as other workers take on the duties of food preparation workers.
Food preparation workers,35-2021,"Local government, excluding education and hospitals",999300,Sourcing change - share decreases as jails and other local government agencies outsource food services.
Bartenders,35-3011,Grocery and specialty food stores,4450A1,Demand change - share increases as grocery stores add bars requiring the hiring of bartenders.
Bartenders,35-3011,Motion picture and video exhibition,512130,"Demand change - share increases as movie theaters increasingly offer more diverse concessions, including alcoholic beverages and traditional restaurant experiences."
Bartenders,35-3011,Casino hotels,721120,Productivity change - share decreases as establishments adopt automatic measuring and mixing beverage systems.
Fast food and counter workers,35-3023,Gasoline stations,447000,Occupational substitution - share increases as expanding food options in gas stations will increase the need for workers who can make and serve food as well as perform other duties.
Fast food and counter workers,35-3023,Special food services,722300,Demand change - share increases as multipurpose workers are needed to operate these services including food trucks.
Waiters and waitresses,35-3031,Motion picture and video exhibition,512130,Demand change - share increases as movie theaters increasingly add partial or full restaurant services to existing traditional concessions to encourage attendance.
Waiters and waitresses,35-3031,Full-service restaurants,722511,"Productivity change - share decreases as adoption of technologies enables more self-service, including online ordering and payments, and will allow waiters and waitresses to serve more customers."
"Food servers, nonrestaurant",35-3041,Motion picture and video exhibition,512130,Demand change - share increases as theaters are increasingly offering partial or full restaurant menus and services to moviegoers in addition to traditional concessions.
Dining room and cafeteria attendants and bartender helpers,35-9011,Motion picture and video exhibition,512130,Demand change - share increases as traditional movie theaters continue to expand their food and beverage offerings and the number of luxury or boutique movie theaters continues to increase.
Dining room and cafeteria attendants and bartender helpers,35-9011,Special food services,722300,Occupational substitution - share decreases as fast food and counter workers take on more tasks previously performed by dining room and cafeteria attendants and bartender helpers.
Dishwashers,35-9021,Motion picture and video exhibition,512130,Demand change - share increases as movie theaters are increasingly offering partial or full restaurant menus to moviegoers to encourage attendance. Dishwashers will be needed as offerings require more involved preparation and larger kitchens.
Dishwashers,35-9021,Full-service restaurants,722511,Demand change - share decreases as an increasing number of delivery and carryout options reduces the number of dishes which need to be washed in-house.
