,2021 National Employment Matrix title,2021 National Employment Matrix code,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree
288,"Entertainers and performers, sports and related workers, all other",27-2099,3.1,17.7,23.3,6.9,38.7,7.0,3.3
289,Broadcast announcers and radio disc jockeys,27-3011,2.2,12.9,21.7,10.6,42.3,9.1,1.3
290,"News analysts, reporters, and journalists",27-3023,0.8,2.6,7.9,3.9,60.0,21.3,3.5
291,Public relations specialists,27-3031,0.3,3.2,8.4,4.7,56.5,22.7,4.2
292,Editors,27-3041,1.1,3.4,8.5,4.0,54.3,23.2,5.5
293,Technical writers,27-3042,0.5,4.8,9.9,7.1,46.6,22.8,8.2
294,Writers and authors,27-3043,0.7,3.3,8.5,3.2,49.8,26.3,8.2
295,Interpreters and translators,27-3091,2.3,9.3,19.5,13.3,34.8,16.8,4.1
296,Court reporters and simultaneous captioners,27-3092,1.2,14.1,32.7,37.3,11.8,1.8,1.2
297,"Media and communication workers, all other",27-3099,1.0,7.0,18.5,7.9,46.3,17.7,1.5
298,Audio and video technicians(1),27-4011,1.8,14.2,24.4,13.6,39.0,6.1,1.0
299,Broadcast technicians(1),27-4012,1.8,14.2,24.4,13.6,39.0,6.1,1.0
300,Sound engineering technicians(1),27-4014,1.8,14.2,24.4,13.6,39.0,6.1,1.0
301,Lighting technicians(1),27-4015,1.8,14.2,24.4,13.6,39.0,6.1,1.0
302,Photographers,27-4021,1.9,11.5,22.0,11.9,44.0,7.7,1.1
303,"Camera operators, television, video, and film(1)",27-4031,1.3,8.4,18.0,8.1,54.0,9.4,0.8
304,Film and video editors(1),27-4032,1.3,8.4,18.0,8.1,54.0,9.4,0.8
305,"Media and communication equipment workers, all other(1)",27-4099,1.8,14.2,24.4,13.6,39.0,6.1,1.0
306,Chiropractors,29-1011,0.2,1.4,1.3,0.6,4.9,2.4,89.2
307,"Dentists, general(1)",29-1021,0.0,0.0,0.0,0.0,0.0,2.5,97.5
308,Oral and maxillofacial surgeons(1),29-1022,0.0,0.0,0.0,0.0,0.0,2.5,97.5
309,Orthodontists(1),29-1023,0.0,0.0,0.0,0.0,0.0,2.5,97.5
310,Prosthodontists(1),29-1024,0.0,0.0,0.0,0.0,0.0,2.5,97.5
311,"Dentists, all other specialists(1)",29-1029,0.0,0.0,0.0,0.0,0.0,2.5,97.5
312,Dietitians and nutritionists,29-1031,2.3,9.4,6.4,3.7,41.6,29.6,6.9
313,Optometrists,29-1041,0.0,0.0,0.0,0.0,0.0,3.7,96.3
314,Pharmacists,29-1051,0.0,0.0,1.6,0.9,27.4,5.9,64.1
315,Physician assistants,29-1071,0.8,2.7,2.7,3.1,17.1,58.4,15.3
316,Podiatrists,29-1081,0.0,0.0,0.0,0.0,0.0,2.3,97.7
317,Occupational therapists,29-1122,0.4,0.6,0.9,4.5,35.0,52.9,5.7
318,Physical therapists,29-1123,0.4,1.0,0.9,2.9,28.1,23.0,43.8
319,Radiation therapists,29-1124,0.2,0.8,8.3,34.7,45.0,7.7,3.3
320,Recreational therapists,29-1125,2.2,15.5,9.7,4.8,53.2,12.9,1.8
321,Respiratory therapists,29-1126,0.8,2.7,10.5,54.9,25.6,4.4,1.2
322,Speech-language pathologists,29-1127,0.5,0.7,0.8,1.4,9.8,83.7,3.1
323,Exercise physiologists(1),29-1128,0.4,2.9,3.6,5.6,24.4,56.0,7.1
324,"Therapists, all other(1)",29-1129,0.4,2.9,3.6,5.6,24.4,56.0,7.1
325,Veterinarians,29-1131,0.0,0.0,0.0,0.0,0.0,2.5,97.5
326,Registered nurses,29-1141,0.4,0.9,3.8,29.9,52.4,10.2,2.3
327,Nurse anesthetists,29-1151,0.8,0.1,0.4,1.3,10.2,72.1,15.1
328,Nurse midwives(1),29-1161,0.2,0.6,0.6,0.7,6.8,74.5,16.6
329,Nurse practitioners(1),29-1171,0.2,0.6,0.6,0.7,6.8,74.5,16.6
330,Audiologists,29-1181,0.0,1.2,3.0,1.2,9.3,17.6,67.7
331,Anesthesiologists(1),29-1211,0.0,0.0,0.0,0.0,0.0,0.0,100.0
332,Cardiologists(1),29-1212,0.0,0.0,0.0,0.0,0.0,0.0,100.0
333,Dermatologists(1),29-1213,0.0,0.0,0.0,0.0,0.0,0.0,100.0
334,Emergency medicine physicians(1),29-1214,0.0,0.0,0.0,0.0,0.0,0.0,100.0
335,Family medicine physicians(1),29-1215,0.0,0.0,0.0,0.0,0.0,0.0,100.0
336,General internal medicine physicians(1),29-1216,0.0,0.0,0.0,0.0,0.0,0.0,100.0
337,Neurologists(1),29-1217,0.0,0.0,0.0,0.0,0.0,0.0,100.0
338,Obstetricians and gynecologists(1),29-1218,0.0,0.0,0.0,0.0,0.0,0.0,100.0
339,"Pediatricians, general(1)",29-1221,0.0,0.0,0.0,0.0,0.0,0.0,100.0
340,"Physicians, pathologists(1)",29-1222,0.0,0.0,0.0,0.0,0.0,0.0,100.0
341,Psychiatrists(1),29-1223,0.0,0.0,0.0,0.0,0.0,0.0,100.0
342,Radiologists(1),29-1224,0.0,0.0,0.0,0.0,0.0,0.0,100.0
343,"Physicians, all other(1)",29-1229,0.0,0.0,0.0,0.0,0.0,0.0,100.0
344,"Ophthalmologists, except pediatric(1)",29-1241,0.0,0.0,0.0,0.0,0.0,0.0,100.0
345,"Orthopedic surgeons, except pediatric(1)",29-1242,0.0,0.0,0.0,0.0,0.0,0.0,100.0
346,Pediatric surgeons(1),29-1243,0.0,0.0,0.0,0.0,0.0,0.0,100.0
347,"Surgeons, all other(1)",29-1249,0.0,0.0,0.0,0.0,0.0,0.0,100.0
348,Acupuncturists,29-1291,1.1,1.4,2.6,1.2,13.3,51.0,29.5
349,Dental hygienists,29-1292,0.6,2.7,8.3,50.5,32.0,3.0,2.7
350,"Healthcare diagnosing or treating practitioners, all other",29-1299,1.7,3.1,19.2,5.6,26.6,19.5,24.2
351,Clinical laboratory technologists and technicians,29-2010,1.3,10.3,21.7,18.6,38.0,6.9,3.3
352,Cardiovascular technologists and technicians,29-2031,2.0,15.6,25.2,16.5,28.2,11.0,1.5
353,Diagnostic medical sonographers,29-2032,1.2,4.3,12.6,35.7,36.1,7.1,3.0
354,Nuclear medicine technologists(1),29-2033,2.6,2.4,6.8,19.8,52.2,13.4,2.8
355,Radiologic technologists and technicians,29-2034,1.1,5.0,16.1,51.8,22.3,3.0,0.8
356,Magnetic resonance imaging technologists,29-2035,1.4,6.9,11.5,36.9,33.3,8.4,1.7
357,Medical dosimetrists(1),29-2036,2.6,2.4,6.8,19.8,52.2,13.4,2.8
358,Emergency medical technicians,29-2042,1.2,16.5,44.2,18.4,16.2,2.7,0.8
359,Paramedics,29-2043,0.4,7.5,41.2,28.4,17.3,2.4,2.8
360,Dietetic technicians(1),29-2051,8.8,38.7,26.7,13.8,10.4,1.1,0.5
361,Pharmacy technicians,29-2052,1.1,27.3,35.5,16.9,15.8,2.4,1.0
362,Psychiatric technicians,29-2053,0.9,14.8,29.1,12.6,33.0,8.8,0.8
363,Surgical technologists,29-2055,1.2,12.2,32.7,40.5,11.9,1.1,0.5
364,Veterinary technologists and technicians,29-2056,1.7,15.7,23.5,32.8,22.6,2.3,1.3
365,Ophthalmic medical technicians(1),29-2057,8.8,38.7,26.7,13.8,10.4,1.1,0.5
366,Licensed practical and licensed vocational nurses,29-2061,1.4,22.2,53.7,17.7,3.9,0.7,0.5
367,Medical records specialists,29-2072,0.9,19.1,32.5,26.6,17.3,2.9,0.7
368,"Opticians, dispensing",29-2081,2.3,25.2,32.1,17.5,19.5,1.8,1.6
369,Orthotists and prosthetists(1),29-2091,2.2,17.9,30.5,17.9,22.2,6.1,3.1
370,Hearing aid specialists(1),29-2092,2.2,17.9,30.5,17.9,22.2,6.1,3.1
371,"Health technologists and technicians, all other(1)",29-2099,2.2,17.9,30.5,17.9,22.2,6.1,3.1
372,Health information technologists and medical registrars(1),29-9021,1.0,5.3,12.0,8.4,34.2,34.6,4.5
373,Athletic trainers(1),29-9091,1.0,5.3,12.0,8.4,34.2,34.6,4.5
374,Genetic counselors(1),29-9092,1.0,5.3,12.0,8.4,34.2,34.6,4.5
375,Surgical assistants(1),29-9093,1.0,5.3,12.0,8.4,34.2,34.6,4.5
376,"Healthcare practitioners and technical workers, all other(1)",29-9099,1.0,5.3,12.0,8.4,34.2,34.6,4.5
377,Home health and personal care aides(1),31-1120,16.4,35.8,25.6,9.1,10.1,2.3,0.7
378,Nursing assistants,31-1131,10.0,36.6,32.9,11.4,7.3,1.1,0.6
379,Orderlies(1),31-1132,5.4,30.6,34.0,13.0,13.4,3.2,0.6
380,Psychiatric aides(1),31-1133,5.4,30.6,34.0,13.0,13.4,3.2,0.6
381,Occupational therapy assistants(1),31-2011,2.2,12.3,16.0,48.6,16.3,4.0,0.5
382,Occupational therapy aides(1),31-2012,2.2,12.3,16.0,48.6,16.3,4.0,0.5
383,Physical therapist assistants(1),31-2021,1.5,5.3,10.4,50.5,28.1,2.6,1.7
384,Physical therapist aides(1),31-2022,1.5,5.3,10.4,50.5,28.1,2.6,1.7
385,Massage therapists,31-9011,3.0,20.6,33.2,18.5,19.3,3.4,1.9
386,Dental assistants,31-9091,2.9,27.0,37.3,19.8,10.2,1.2,1.7
387,Medical assistants,31-9092,2.0,20.3,39.9,24.6,10.2,1.9,1.2
388,Medical equipment preparers(1),31-9093,6.6,30.1,30.2,12.1,15.7,3.9,1.4
389,Medical transcriptionists,31-9094,1.2,16.4,32.3,17.1,24.3,5.2,3.5
390,Pharmacy aides,31-9095,3.8,27.5,24.8,15.4,18.9,2.3,7.1
391,Veterinary assistants and laboratory animal caretakers,31-9096,4.0,23.9,27.8,13.0,27.1,3.2,1.0
392,Phlebotomists,31-9097,2.0,24.6,42.8,18.1,10.8,1.5,0.2
393,"Healthcare support workers, all other(1)",31-9099,6.6,30.1,30.2,12.1,15.7,3.9,1.4
394,First-line supervisors of correctional officers,33-1011,1.5,25.1,31.1,12.7,22.7,6.6,0.4
395,First-line supervisors of police and detectives,33-1012,0.4,11.8,25.2,16.1,32.1,12.9,1.5
396,First-line supervisors of firefighting and prevention workers,33-1021,0.7,12.3,31.3,22.0,25.3,7.7,0.7
397,First-line supervisors of security workers(1),33-1091,2.1,21.6,28.8,11.9,24.7,9.2,1.7
398,"First-line supervisors of protective service workers, all other(1)",33-1099,2.1,21.6,28.8,11.9,24.7,9.2,1.7
399,Firefighters,33-2011,0.7,14.4,37.3,22.6,21.8,2.6,0.6
400,Fire inspectors and investigators(1),33-2021,4.0,20.7,30.1,16.7,22.2,5.0,1.3
401,Forest fire inspectors and prevention specialists(1),33-2022,4.0,20.7,30.1,16.7,22.2,5.0,1.3
402,Bailiffs,33-3011,0.7,20.0,27.0,14.0,29.1,7.0,2.3
403,Correctional officers and jailers,33-3012,0.9,30.9,34.6,14.5,16.0,2.8,0.4
404,Detectives and criminal investigators,33-3021,0.5,8.5,20.9,11.2,41.5,14.7,2.7
405,Fish and game wardens(1),33-3031,1.1,19.5,27.3,17.1,30.6,3.9,0.6
406,Parking enforcement workers(1),33-3041,1.1,19.5,27.3,17.1,30.6,3.9,0.6
407,Police and sheriff's patrol officers(1),33-3051,0.7,12.4,30.3,17.1,32.1,6.5,0.8
408,Transit and railroad police(1),33-3052,0.7,12.4,30.3,17.1,32.1,6.5,0.8
409,Animal control workers,33-9011,2.2,30.1,33.3,10.7,21.6,1.8,0.3
410,Private detectives and investigators,33-9021,0.6,11.8,20.1,11.4,38.2,14.1,3.8
411,Gambling surveillance officers and gambling investigators(1),33-9031,5.9,35.4,30.4,10.9,13.9,3.1,0.5
412,Security guards(1),33-9032,5.9,35.4,30.4,10.9,13.9,3.1,0.5
413,Crossing guards and flaggers,33-9091,14.7,44.5,24.5,6.5,7.9,1.4,0.6
414,"Lifeguards, ski patrol, and other recreational protective service workers(1)",33-9092,1.9,19.0,26.2,9.9,32.4,9.4,1.2
415,Transportation security screeners,33-9093,1.8,20.5,32.4,12.7,25.4,6.4,0.8
416,School bus monitors,33-9094,16.1,45.3,23.8,8.4,4.8,1.5,0.1
417,"Protective service workers, all other(1)",33-9099,1.9,19.0,26.2,9.9,32.4,9.4,1.2
418,Chefs and head cooks,35-1011,16.2,30.3,21.6,16.2,13.5,1.7,0.6
419,First-line supervisors of food preparation and serving workers,35-1012,11.3,36.3,27.9,9.6,12.8,1.7,0.4
420,"Cooks, fast food(1)",35-2011,27.3,41.9,18.5,6.1,5.4,0.7,0.2
421,"Cooks, institution and cafeteria(1)",35-2012,27.3,41.9,18.5,6.1,5.4,0.7,0.2
422,"Cooks, private household(1)",35-2013,27.3,41.9,18.5,6.1,5.4,0.7,0.2
423,"Cooks, restaurant(1)",35-2014,27.3,41.9,18.5,6.1,5.4,0.7,0.2
424,"Cooks, short order(1)",35-2015,27.3,41.9,18.5,6.1,5.4,0.7,0.2
425,"Cooks, all other(1)",35-2019,27.3,41.9,18.5,6.1,5.4,0.7,0.2
426,Food preparation workers,35-2021,24.0,40.0,20.4,6.7,7.4,1.2,0.3
427,Bartenders,35-3011,5.4,27.3,34.1,10.8,19.7,2.2,0.5
428,Fast food and counter workers,35-3023,14.9,38.0,25.8,7.9,11.2,1.9,0.4
429,Waiters and waitresses,35-3031,13.3,33.2,28.4,9.1,13.7,1.9,0.4
430,"Food servers, nonrestaurant",35-3041,14.9,41.9,23.7,7.7,9.9,1.7,0.1
431,Dining room and cafeteria attendants and bartender helpers,35-9011,22.1,42.5,19.4,7.0,7.8,1.0,0.3
432,Dishwashers,35-9021,36.7,42.3,13.1,3.7,3.6,0.4,0.2
433,"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,10.7,32.5,27.2,11.1,15.3,2.5,0.7
434,"Food preparation and serving related workers, all other",35-9099,15.9,35.7,33.2,3.9,10.2,1.2,0.0
435,First-line supervisors of housekeeping and janitorial workers,37-1011,13.2,39.7,24.0,8.3,12.3,2.0,0.5
436,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,22.1,31.1,21.1,9.3,14.7,1.6,0.1
437,"Janitors and cleaners, except maids and housekeeping cleaners(1)",37-2011,23.1,45.0,18.7,6.5,5.5,1.1,0.3
438,Maids and housekeeping cleaners,37-2012,35.1,40.8,14.1,4.4,4.6,0.7,0.3
439,"Building cleaning workers, all other(1)",37-2019,23.1,45.0,18.7,6.5,5.5,1.1,0.3
440,Pest control workers,37-2021,8.8,45.1,28.8,7.0,9.1,0.7,0.6
441,Landscaping and groundskeeping workers,37-3011,35.5,36.0,15.6,4.8,6.6,1.2,0.2
442,"Pesticide handlers, sprayers, and applicators, vegetation(1)",37-3012,23.7,33.7,17.6,8.9,15.0,0.8,0.3
443,Tree trimmers and pruners,37-3013,32.5,40.6,12.3,5.1,7.8,1.3,0.4
444,"Grounds maintenance workers, all other(1)",37-3019,23.7,33.7,17.6,8.9,15.0,0.8,0.3
445,First-line supervisors of gambling services workers(1),39-1013,5.3,30.8,29.1,10.3,19.9,3.6,0.9
446,"First-line supervisors of entertainment and recreation workers, except gambling services(1)",39-1014,5.3,30.8,29.1,10.3,19.9,3.6,0.9
447,First-line supervisors of personal service workers(1),39-1022,5.3,30.8,29.1,10.3,19.9,3.6,0.9
448,Animal trainers,39-2011,7.5,25.2,23.4,8.3,29.6,4.8,1.2
449,Animal caretakers,39-2021,6.9,30.5,28.2,10.0,20.3,3.0,1.0
450,Gambling dealers(1),39-3011,9.1,34.3,28.3,9.8,15.8,1.9,0.8
451,Gambling and sports book writers and runners(1),39-3012,9.1,34.3,28.3,9.8,15.8,1.9,0.8
452,"Gambling service workers, all other(1)",39-3019,9.1,34.3,28.3,9.8,15.8,1.9,0.8
453,Motion picture projectionists(1),39-3021,6.0,27.7,26.8,8.7,24.3,5.7,0.9
454,"Ushers, lobby attendants, and ticket takers",39-3031,6.9,30.7,25.1,10.2,18.7,7.7,0.7
455,Amusement and recreation attendants(1),39-3091,6.0,27.7,26.8,8.7,24.3,5.7,0.9
456,Costume attendants(1),39-3092,6.0,27.7,26.8,8.7,24.3,5.7,0.9
457,"Locker room, coatroom, and dressing room attendants(1)",39-3093,6.0,27.7,26.8,8.7,24.3,5.7,0.9
458,"Entertainment attendants and related workers, all other(1)",39-3099,6.0,27.7,26.8,8.7,24.3,5.7,0.9
459,Embalmers(1),39-4011,6.3,25.3,26.8,16.8,19.7,3.8,1.4
460,Crematory operators(1),39-4012,6.3,25.3,26.8,16.8,19.7,3.8,1.4
461,Funeral attendants(1),39-4021,6.3,25.3,26.8,16.8,19.7,3.8,1.4
462,"Morticians, undertakers, and funeral arrangers",39-4031,3.0,8.7,17.2,37.1,25.8,4.4,3.8
463,Barbers,39-5011,10.4,48.0,26.8,8.4,5.5,0.8,0.1
464,"Hairdressers, hairstylists, and cosmetologists",39-5012,6.1,43.7,31.7,11.4,5.8,1.0,0.3
465,"Makeup artists, theatrical and performance(1)",39-5091,3.7,30.3,33.9,11.0,18.0,2.9,0.2
466,Manicurists and pedicurists,39-5092,27.4,39.8,17.0,6.9,7.5,1.1,0.4
467,Shampooers(1),39-5093,3.7,30.3,33.9,11.0,18.0,2.9,0.2
468,Skincare specialists,39-5094,2.9,23.1,36.3,15.6,18.6,2.9,0.5
469,Baggage porters and bellhops(1),39-6011,8.9,32.9,29.1,9.6,16.3,2.4,0.8
470,Concierges(1),39-6012,8.9,32.9,29.1,9.6,16.3,2.4,0.8
471,Tour and travel guides,39-7010,2.6,20.7,21.6,7.3,36.1,10.5,1.2
472,Childcare workers,39-9011,11.7,32.0,25.4,11.3,15.9,3.1,0.6
473,Exercise trainers and group fitness instructors,39-9031,2.1,8.8,19.4,9.7,44.8,12.4,2.7
474,Recreation workers,39-9032,3.9,24.7,25.6,9.7,27.6,7.3,1.2
475,Residential advisors,39-9041,3.9,14.7,29.2,13.5,28.4,9.0,1.3
476,"Personal care and service workers, all other",39-9099,10.2,27.7,28.1,9.0,19.6,4.4,1.0
477,First-line supervisors of retail sales workers,41-1011,5.6,29.1,28.4,10.2,21.6,4.2,1.0
478,First-line supervisors of non-retail sales workers,41-1012,5.1,21.0,22.5,9.1,31.7,9.2,1.4
479,Cashiers(1),41-2011,14.3,41.1,24.6,7.7,10.3,1.8,0.3
480,Gambling change persons and booth cashiers(1),41-2012,14.3,41.1,24.6,7.7,10.3,1.8,0.3
481,Counter and rental clerks,41-2021,7.3,35.1,27.8,8.8,17.8,2.8,0.5
482,Parts salespersons,41-2022,8.1,47.8,26.3,9.3,7.3,1.1,0.1
483,Retail salespersons,41-2031,6.3,29.6,27.7,10.2,21.5,3.8,0.7
484,Advertising sales agents,41-3011,1.2,10.8,19.6,6.9,52.1,8.1,1.4
485,Insurance sales agents,41-3021,1.1,15.0,25.6,10.5,39.5,7.1,1.3
486,"Securities, commodities, and financial services sales agents",41-3031,0.9,7.6,14.3,5.4,49.5,18.8,3.5
487,Travel agents,41-3041,3.1,19.4,27.3,11.6,31.3,5.9,1.4
488,"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,2.0,13.6,21.6,8.0,44.3,9.4,1.1
489,"Sales representatives, wholesale and manufacturing, technical and scientific products(1)",41-4011,2.9,17.0,22.5,8.8,40.6,7.4,0.9
490,"Sales representatives, wholesale and manufacturing, except technical and scientific products(1)",41-4012,2.9,17.0,22.5,8.8,40.6,7.4,0.9
491,Demonstrators and product promoters(1),41-9011,8.1,29.3,27.5,11.4,17.3,5.5,0.9
492,Models(1),41-9012,8.1,29.3,27.5,11.4,17.3,5.5,0.9
493,Real estate brokers(1),41-9021,1.3,12.2,25.7,10.1,38.5,10.0,2.1
494,Real estate sales agents(1),41-9022,1.3,12.2,25.7,10.1,38.5,10.0,2.1
495,Sales engineers,41-9031,0.4,3.9,11.8,6.8,57.8,17.4,1.9
496,Telemarketers,41-9041,6.3,33.5,29.6,10.8,16.9,2.7,0.3
497,"Door-to-door sales workers, news and street vendors, and related workers",41-9091,12.5,29.8,23.6,8.1,19.8,5.3,1.0
498,"Sales and related workers, all other",41-9099,3.9,18.8,19.9,8.0,38.2,9.8,1.5
499,First-line supervisors of office and administrative support workers,43-1011,2.5,20.7,27.4,12.9,27.4,7.8,1.3
500,"Switchboard operators, including answering service",43-2011,3.2,30.8,33.3,12.9,17.3,2.5,0.0
501,Telephone operators,43-2021,3.2,33.2,34.6,9.7,15.0,3.8,0.5
502,"Communications equipment operators, all other",43-2099,2.1,18.6,26.9,9.9,33.5,8.5,0.5
503,Bill and account collectors,43-3011,3.6,29.5,33.6,14.2,16.6,1.9,0.6
504,Billing and posting clerks,43-3021,2.7,28.5,32.3,15.3,17.0,3.5,0.8
505,"Bookkeeping, accounting, and auditing clerks",43-3031,3.7,26.3,37.1,12.3,17.1,3.1,0.5
506,Gambling cage workers(1),43-3041,1.2,13.6,22.4,8.0,36.8,16.5,1.4
507,Payroll and timekeeping clerks,43-3051,2.4,24.4,32.6,15.1,21.6,3.4,0.6
508,Procurement clerks,43-3061,1.9,17.8,26.1,12.0,31.5,9.5,1.2
509,Tellers,43-3071,1.3,32.8,32.8,13.5,17.4,1.9,0.3
510,"Financial clerks, all other(1)",43-3099,1.2,13.6,22.4,8.0,36.8,16.5,1.4
511,Brokerage clerks(1),43-4011,2.1,19.0,26.7,14.2,28.0,8.6,1.4
512,Correspondence clerks(1),43-4021,7.0,34.3,26.7,10.5,18.0,2.8,0.7
513,"Court, municipal, and license clerks",43-4031,1.2,25.7,31.8,13.3,22.4,4.4,1.2
514,"Credit authorizers, checkers, and clerks",43-4041,0.9,23.3,30.1,10.3,27.8,5.7,1.9
515,Customer service representatives,43-4051,3.9,26.4,30.0,12.0,22.9,4.2,0.6
516,"Eligibility interviewers, government programs",43-4061,1.1,10.9,25.7,14.6,37.4,8.9,1.4
517,File clerks,43-4071,4.4,26.2,29.1,13.4,20.9,5.1,1.0
518,"Hotel, motel, and resort desk clerks",43-4081,6.9,29.5,32.3,12.0,15.8,2.4,1.0
519,"Interviewers, except eligibility and loan",43-4111,2.2,23.1,31.0,12.9,22.7,7.0,1.2
520,"Library assistants, clerical",43-4121,1.5,15.2,23.9,11.8,35.5,10.8,1.2
521,Loan interviewers and clerks,43-4131,1.6,24.6,32.1,12.9,24.6,3.7,0.5
522,New accounts clerks,43-4141,1.6,18.5,34.5,13.6,25.8,5.2,0.9
523,Order clerks(1),43-4151,7.0,34.3,26.7,10.5,18.0,2.8,0.7
524,"Human resources assistants, except payroll and timekeeping",43-4161,1.4,17.5,28.7,11.4,31.0,9.3,0.8
525,Receptionists and information clerks,43-4171,3.5,33.1,32.5,13.5,14.5,2.4,0.5
526,Reservation and transportation ticket agents and travel clerks,43-4181,2.5,24.5,29.9,13.9,24.8,3.7,0.7
527,"Information and record clerks, all other(1)",43-4199,2.1,19.0,26.7,14.2,28.0,8.6,1.4
528,Cargo and freight agents,43-5011,2.5,28.4,30.6,12.4,23.1,1.5,1.5
529,Couriers and messengers,43-5021,7.8,35.0,31.7,10.1,13.0,1.9,0.5
530,Public safety telecommunicators,43-5031,0.9,22.4,38.8,16.1,18.7,2.8,0.3
531,"Dispatchers, except police, fire, and ambulance",43-5032,6.0,34.0,32.8,11.1,13.9,1.8,0.4
532,"Meter readers, utilities",43-5041,2.9,46.9,30.4,14.5,4.2,1.1,0.0
533,Postal service clerks,43-5051,2.2,33.3,35.7,12.6,13.3,2.4,0.6
534,Postal service mail carriers,43-5052,2.2,34.9,35.5,11.9,13.1,2.0,0.4
535,"Postal service mail sorters, processors, and processing machine operators",43-5053,4.7,30.6,34.7,13.9,13.0,2.8,0.4
536,"Production, planning, and expediting clerks",43-5061,2.4,23.0,28.0,11.7,26.7,7.3,0.8
537,"Shipping, receiving, and inventory clerks",43-5071,11.9,43.6,25.9,8.0,9.0,1.4,0.3
538,"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,11.8,36.8,26.9,9.9,12.1,2.2,0.3
539,Executive secretaries and executive administrative assistants,43-6011,0.9,15.9,27.8,14.6,32.9,7.1,0.8
540,Legal secretaries and administrative assistants,43-6012,1.7,22.9,33.9,18.5,19.2,3.2,0.6
541,Medical secretaries and administrative assistants,43-6013,3.3,22.8,35.9,17.5,17.0,2.8,0.7
542,"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,2.5,26.5,31.2,14.8,20.5,3.9,0.6
543,Data entry keyers,43-9021,2.8,26.2,31.6,14.4,20.8,3.6,0.6
544,Word processors and typists,43-9022,3.3,27.0,29.5,13.7,20.9,4.5,1.2
545,Desktop publishers(1),43-9031,2.1,18.7,27.5,12.4,28.3,9.7,1.3
546,Insurance claims and policy processing clerks,43-9041,2.0,23.2,31.7,13.4,23.3,5.3,1.2
547,"Mail clerks and mail machine operators, except postal service",43-9051,8.0,44.0,23.2,10.9,11.2,2.2,0.4
548,"Office clerks, general",43-9061,3.1,29.3,31.3,13.2,18.4,3.9,0.8
549,"Office machine operators, except computer",43-9071,7.7,35.2,30.3,12.4,11.8,2.3,0.2
550,Proofreaders and copy markers,43-9081,0.7,17.8,13.3,5.8,43.9,17.0,1.5
551,Statistical assistants,43-9111,2.0,14.3,26.0,9.2,32.7,14.5,1.3
552,"Office and administrative support workers, all other(1)",43-9199,2.1,18.7,27.5,12.4,28.3,9.7,1.3
553,"First-line supervisors of farming, fishing, and forestry workers",45-1011,35.3,28.9,15.6,5.1,11.2,3.1,0.7
554,Agricultural inspectors,45-2011,5.9,25.9,24.6,8.8,30.0,3.2,1.6
555,Animal breeders(1),45-2021,49.9,28.0,10.6,4.0,6.2,0.9,0.3
556,"Graders and sorters, agricultural products",45-2041,52.4,29.5,9.6,2.6,4.6,0.5,0.8
557,Agricultural equipment operators(1),45-2091,49.9,28.0,10.6,4.0,6.2,0.9,0.3
558,"Farmworkers and laborers, crop, nursery, and greenhouse(1)",45-2092,49.9,28.0,10.6,4.0,6.2,0.9,0.3
559,"Farmworkers, farm, ranch, and aquacultural animals(1)",45-2093,49.9,28.0,10.6,4.0,6.2,0.9,0.3
560,"Agricultural workers, all other(1)",45-2099,49.9,28.0,10.6,4.0,6.2,0.9,0.3
561,Fishing and hunting workers,45-3031,21.4,41.3,20.3,5.2,9.9,1.7,0.3
562,Forest and conservation workers,45-4011,26.0,27.6,15.8,8.0,19.0,2.8,0.9
563,Fallers(1),45-4021,29.9,46.7,13.6,5.6,3.7,0.5,0.0
564,Logging equipment operators(1),45-4022,29.9,46.7,13.6,5.6,3.7,0.5,0.0
565,Log graders and scalers(1),45-4023,29.9,46.7,13.6,5.6,3.7,0.5,0.0
566,"Logging workers, all other(1)",45-4029,29.9,46.7,13.6,5.6,3.7,0.5,0.0
567,First-line supervisors of construction trades and extraction workers,47-1011,15.5,42.8,23.6,6.9,9.2,1.6,0.3
568,Boilermakers,47-2011,11.3,53.8,27.2,4.9,2.8,0.0,0.0
569,Brickmasons and blockmasons(1),47-2021,33.1,43.3,15.7,4.0,3.4,0.5,0.0
570,Stonemasons(1),47-2022,33.1,43.3,15.7,4.0,3.4,0.5,0.0
571,Carpenters,47-2031,25.8,42.0,19.1,5.6,6.3,0.8,0.3
572,Carpet installers(1),47-2041,31.7,43.7,15.6,3.5,4.9,0.7,0.1
573,"Floor layers, except carpet, wood, and hard tiles(1)",47-2042,31.7,43.7,15.6,3.5,4.9,0.7,0.1
574,Floor sanders and finishers(1),47-2043,31.7,43.7,15.6,3.5,4.9,0.7,0.1
575,Tile and stone setters(1),47-2044,31.7,43.7,15.6,3.5,4.9,0.7,0.1
576,Cement masons and concrete finishers(1),47-2051,37.4,41.1,15.8,2.3,3.3,0.1,0.0
577,Terrazzo workers and finishers(1),47-2053,37.4,41.1,15.8,2.3,3.3,0.1,0.0
578,Construction laborers,47-2061,32.0,40.1,16.3,4.9,5.4,0.9,0.3
