"Table 5.4 Education and training assignments by detailed occupation, 2021",,,,
2021 National Employment Matrix title,2021 National Employment Matrix code,Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Textile, apparel, and furnishings workers, all other",51-6099,High school diploma or equivalent,None,Short-term on-the-job training
Cabinetmakers and bench carpenters,51-7011,High school diploma or equivalent,None,Moderate-term on-the-job training
Furniture finishers,51-7021,High school diploma or equivalent,None,Short-term on-the-job training
"Model makers, wood",51-7031,High school diploma or equivalent,None,Moderate-term on-the-job training
"Patternmakers, wood",51-7032,High school diploma or equivalent,None,Moderate-term on-the-job training
"Sawing machine setters, operators, and tenders, wood",51-7041,High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworkers, all other",51-7099,High school diploma or equivalent,None,Moderate-term on-the-job training
Nuclear power reactor operators,51-8011,High school diploma or equivalent,None,Long-term on-the-job training
Power distributors and dispatchers,51-8012,High school diploma or equivalent,None,Long-term on-the-job training
Power plant operators,51-8013,High school diploma or equivalent,None,Long-term on-the-job training
Stationary engineers and boiler operators,51-8021,High school diploma or equivalent,None,Long-term on-the-job training
Water and wastewater treatment plant and system operators,51-8031,High school diploma or equivalent,None,Long-term on-the-job training
Chemical plant and system operators,51-8091,High school diploma or equivalent,None,Moderate-term on-the-job training
Gas plant operators,51-8092,High school diploma or equivalent,None,Long-term on-the-job training
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,High school diploma or equivalent,None,Moderate-term on-the-job training
"Plant and system operators, all other",51-8099,High school diploma or equivalent,None,Moderate-term on-the-job training
Chemical equipment operators and tenders,51-9011,High school diploma or equivalent,None,Moderate-term on-the-job training
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,High school diploma or equivalent,None,Moderate-term on-the-job training
"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,High school diploma or equivalent,None,Moderate-term on-the-job training
"Grinding and polishing workers, hand",51-9022,No formal educational credential,None,Moderate-term on-the-job training
"Mixing and blending machine setters, operators, and tenders",51-9023,High school diploma or equivalent,None,Moderate-term on-the-job training
"Cutters and trimmers, hand",51-9031,No formal educational credential,None,Short-term on-the-job training
"Cutting and slicing machine setters, operators, and tenders",51-9032,High school diploma or equivalent,None,Moderate-term on-the-job training
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,High school diploma or equivalent,None,Moderate-term on-the-job training
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,High school diploma or equivalent,None,Moderate-term on-the-job training
"Inspectors, testers, sorters, samplers, and weighers",51-9061,High school diploma or equivalent,None,Moderate-term on-the-job training
Jewelers and precious stone and metal workers,51-9071,High school diploma or equivalent,None,Long-term on-the-job training
Dental laboratory technicians,51-9081,High school diploma or equivalent,None,Moderate-term on-the-job training
Medical appliance technicians,51-9082,High school diploma or equivalent,None,Moderate-term on-the-job training
Ophthalmic laboratory technicians,51-9083,High school diploma or equivalent,None,Moderate-term on-the-job training
Packaging and filling machine operators and tenders,51-9111,High school diploma or equivalent,None,Moderate-term on-the-job training
"Painting, coating, and decorating workers",51-9123,No formal educational credential,None,Moderate-term on-the-job training
"Coating, painting, and spraying machine setters, operators, and tenders",51-9124,High school diploma or equivalent,None,Moderate-term on-the-job training
Semiconductor processing technicians,51-9141,High school diploma or equivalent,None,Moderate-term on-the-job training
Photographic process workers and processing machine operators,51-9151,High school diploma or equivalent,None,Short-term on-the-job training
Computer numerically controlled tool operators,51-9161,High school diploma or equivalent,None,Moderate-term on-the-job training
Computer numerically controlled tool programmers,51-9162,Postsecondary nondegree award,None,Moderate-term on-the-job training
Adhesive bonding machine operators and tenders,51-9191,High school diploma or equivalent,None,Moderate-term on-the-job training
"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,High school diploma or equivalent,None,Moderate-term on-the-job training
Cooling and freezing equipment operators and tenders,51-9193,High school diploma or equivalent,None,Moderate-term on-the-job training
Etchers and engravers,51-9194,High school diploma or equivalent,None,Moderate-term on-the-job training
"Molders, shapers, and casters, except metal and plastic",51-9195,High school diploma or equivalent,None,Long-term on-the-job training
"Paper goods machine setters, operators, and tenders",51-9196,High school diploma or equivalent,None,Moderate-term on-the-job training
Tire builders,51-9197,High school diploma or equivalent,None,Moderate-term on-the-job training
Helpers--production workers,51-9198,High school diploma or equivalent,None,Short-term on-the-job training
"Production workers, all other",51-9199,High school diploma or equivalent,None,Moderate-term on-the-job training
Aircraft cargo handling supervisors,53-1041,High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",53-1047,High school diploma or equivalent,Less than 5 years,None
"Airline pilots, copilots, and flight engineers",53-2011,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Commercial pilots,53-2012,Postsecondary nondegree award,None,Moderate-term on-the-job training
Air traffic controllers,53-2021,Associate's degree,None,Long-term on-the-job training
Airfield operations specialists,53-2022,High school diploma or equivalent,None,Long-term on-the-job training
Flight attendants,53-2031,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,High school diploma or equivalent,None,Moderate-term on-the-job training
Driver/sales workers,53-3031,High school diploma or equivalent,None,Short-term on-the-job training
Heavy and tractor-trailer truck drivers,53-3032,Postsecondary nondegree award,None,Short-term on-the-job training
Light truck drivers,53-3033,High school diploma or equivalent,None,Short-term on-the-job training
"Bus drivers, school",53-3051,High school diploma or equivalent,None,Short-term on-the-job training
"Bus drivers, transit and intercity",53-3052,High school diploma or equivalent,None,Moderate-term on-the-job training
Shuttle drivers and chauffeurs,53-3053,No formal educational credential,None,Short-term on-the-job training
Taxi drivers,53-3054,No formal educational credential,None,Short-term on-the-job training
"Motor vehicle operators, all other",53-3099,No formal educational credential,None,Short-term on-the-job training
Locomotive engineers,53-4011,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Rail yard engineers, dinkey operators, and hostlers",53-4013,High school diploma or equivalent,None,Moderate-term on-the-job training
"Railroad brake, signal, and switch operators and locomotive firers",53-4022,High school diploma or equivalent,None,Moderate-term on-the-job training
Railroad conductors and yardmasters,53-4031,High school diploma or equivalent,None,Moderate-term on-the-job training
Subway and streetcar operators,53-4041,High school diploma or equivalent,None,Moderate-term on-the-job training
"Rail transportation workers, all other",53-4099,High school diploma or equivalent,None,Moderate-term on-the-job training
Sailors and marine oilers,53-5011,No formal educational credential,None,Moderate-term on-the-job training
"Captains, mates, and pilots of water vessels",53-5021,Postsecondary nondegree award,Less than 5 years,None
Motorboat operators,53-5022,Postsecondary nondegree award,Less than 5 years,None
Ship engineers,53-5031,Postsecondary nondegree award,Less than 5 years,None
Bridge and lock tenders,53-6011,High school diploma or equivalent,None,Short-term on-the-job training
Parking attendants,53-6021,No formal educational credential,None,Short-term on-the-job training
Automotive and watercraft service attendants,53-6031,No formal educational credential,None,Short-term on-the-job training
Aircraft service attendants,53-6032,High school diploma or equivalent,None,Short-term on-the-job training
Traffic technicians,53-6041,High school diploma or equivalent,None,Moderate-term on-the-job training
Transportation inspectors,53-6051,High school diploma or equivalent,None,Moderate-term on-the-job training
Passenger attendants,53-6061,High school diploma or equivalent,None,Short-term on-the-job training
"Transportation workers, all other",53-6099,High school diploma or equivalent,None,Short-term on-the-job training
Conveyor operators and tenders,53-7011,No formal educational credential,None,Short-term on-the-job training
Crane and tower operators,53-7021,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Dredge operators,53-7031,High school diploma or equivalent,None,Moderate-term on-the-job training
Hoist and winch operators,53-7041,No formal educational credential,None,Short-term on-the-job training
Industrial truck and tractor operators,53-7051,No formal educational credential,None,Short-term on-the-job training
Cleaners of vehicles and equipment,53-7061,No formal educational credential,None,Short-term on-the-job training
"Laborers and freight, stock, and material movers, hand",53-7062,No formal educational credential,None,Short-term on-the-job training
Machine feeders and offbearers,53-7063,No formal educational credential,None,Short-term on-the-job training
"Packers and packagers, hand",53-7064,No formal educational credential,None,Short-term on-the-job training
Stockers and order fillers,53-7065,High school diploma or equivalent,None,Short-term on-the-job training
Gas compressor and gas pumping station operators,53-7071,High school diploma or equivalent,None,Moderate-term on-the-job training
"Pump operators, except wellhead pumpers",53-7072,High school diploma or equivalent,None,Moderate-term on-the-job training
Wellhead pumpers,53-7073,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Refuse and recyclable material collectors,53-7081,No formal educational credential,None,Short-term on-the-job training
"Tank car, truck, and ship loaders",53-7121,No formal educational credential,None,Short-term on-the-job training
"Material moving workers, all other",53-7199,No formal educational credential,None,Short-term on-the-job training
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",,,,
