"Table 1.7 Occupational projections, 2021-31, and worker characteristics, 2021 (Numbers in thousands)",,,,,,,,,,,,
2021 National Employment Matrix title,2021 National Employment Matrix code,Occupation type,"Employment, 2021","Employment, 2031","Employment change, 2021-31","Percent employment change, 2021-31","Percent self employed, 2021","Occupational openings, 2021-31 annual average","Median annual wage, 2021(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Agricultural technicians,19-4012,Line item,16.4,18.0,1.6,9.7,—,2.6,"$40,430",Associate's degree,None,Moderate-term on-the-job training
Food science technicians,19-4013,Line item,15.2,16.3,1.2,7.6,—,2.3,"$46,590",Associate's degree,None,Moderate-term on-the-job training
Biological technicians,19-4021,Line item,84.3,92.0,7.7,9.1,—,12.2,"$48,140",Bachelor's degree,None,None
Chemical technicians,19-4031,Line item,60.4,63.1,2.7,4.5,0.7,7.8,"$48,990",Associate's degree,None,Moderate-term on-the-job training
Environmental science and geoscience technicians,19-4040,Summary,48.5,51.1,2.6,5.4,—,5.4,"$47,850",—,—,—
"Environmental science and protection technicians, including health",19-4042,Line item,35.5,37.6,2.1,5.9,—,4.0,"$47,370",Associate's degree,None,None
"Geological technicians, except hydrologic technicians",19-4043,Line item,9.2,9.7,0.5,5.2,—,1.0,"$48,310",Associate's degree,None,Moderate-term on-the-job training
Hydrologic technicians,19-4044,Line item,3.8,3.8,0.0,0.9,—,0.4,"$62,280",Associate's degree,None,Moderate-term on-the-job training
Nuclear technicians,19-4051,Line item,5.4,4.5,-0.9,-16.6,—,0.4,"$99,340",Associate's degree,None,Moderate-term on-the-job training
Social science research assistants,19-4061,Line item,35.2,39.2,4.0,11.3,2.9,5.0,"$49,720",Bachelor's degree,None,None
Forest and conservation technicians,19-4071,Line item,32.7,32.1,-0.6,-2.0,0.5,3.9,"$39,290",Associate's degree,None,None
"Miscellaneous life, physical, and social science technicians",19-4090,Summary,90.3,97.1,6.8,7.6,3.4,12.2,"$50,370",—,—,—
Forensic science technicians,19-4092,Line item,17.6,19.6,2.0,11.4,0.6,2.5,"$61,930",Bachelor's degree,None,Moderate-term on-the-job training
"Life, physical, and social science technicians, all other",19-4099,Line item,72.7,77.5,4.8,6.6,4.1,9.7,"$49,030",Associate's degree,None,None
Occupational health and safety specialists and technicians,19-5000,Summary,132.4,138.6,6.3,4.7,0.1,14.5,"$74,870",—,—,—
Occupational health and safety specialists,19-5011,Line item,109.9,114.7,4.9,4.5,0.1,12.0,"$77,560",Bachelor's degree,None,None
Occupational health and safety technicians,19-5012,Line item,22.5,23.9,1.4,6.1,—,2.5,"$51,120",High school diploma or equivalent,None,Moderate-term on-the-job training
Community and social service occupations,21-0000,Summary,"2,843.2","3,137.8",294.6,10.4,4.0,318.4,"$48,410",—,—,—
"Counselors, social workers, and other community and social service specialists",21-1000,Summary,"2,363.3","2,638.8",275.5,11.7,4.1,266.4,"$48,400",—,—,—
Counselors,21-1010,Summary,915.8,"1,051.4",135.5,14.8,9.1,100.0,"$49,360",—,—,—
"Educational, guidance, and career counselors and advisors",21-1012,Line item,336.0,368.4,32.4,9.6,1.5,32.0,"$60,510",Master's degree,None,None
Marriage and family therapists,21-1013,Line item,65.3,74.3,9.1,13.9,12.5,6.4,"$49,880",Master's degree,None,Internship/residency
Rehabilitation counselors,21-1015,Line item,93.2,103.0,9.8,10.5,1.1,9.9,"$38,560",Master's degree,None,None
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,Line item,351.0,428.5,77.5,22.1,8.4,43.6,"$48,520",Bachelor's degree,None,None
"Counselors, all other",21-1019,Line item,70.3,77.1,6.8,9.6,55.8,8.1,"$45,160",Master's degree,None,None
Social workers,21-1020,Summary,708.1,772.1,64.0,9.0,1.4,74.7,"$50,390",—,—,—
"Child, family, and school social workers",21-1021,Line item,349.8,378.9,29.1,8.3,0.0,36.6,"$49,150",Bachelor's degree,None,None
Healthcare social workers,21-1022,Line item,179.5,199.3,19.9,11.1,0.2,19.7,"$60,840",Master's degree,None,Internship/residency
Mental health and substance abuse social workers,21-1023,Line item,119.8,133.2,13.3,11.1,2.6,12.7,"$49,130",Master's degree,None,Internship/residency
"Social workers, all other",21-1029,Line item,59.0,60.7,1.7,2.9,10.1,5.7,"$61,190",Bachelor's degree,None,None
Miscellaneous community and social service specialists,21-1090,Summary,739.3,815.3,76.0,10.3,0.6,91.6,"$42,490",—,—,—
Health education specialists,21-1091,Line item,59.6,64.2,4.5,7.6,0.3,7.1,"$60,600",Bachelor's degree,None,None
Probation officers and correctional treatment specialists,21-1092,Line item,94.5,94.6,0.1,0.1,—,8.0,"$60,250",Bachelor's degree,None,Short-term on-the-job training
Social and human service assistants,21-1093,Line item,420.6,472.9,52.4,12.5,0.9,55.9,"$37,610",High school diploma or equivalent,None,Short-term on-the-job training
Community health workers,21-1094,Line item,67.0,77.7,10.6,15.9,0.3,8.8,"$46,590",High school diploma or equivalent,None,Short-term on-the-job training
"Community and social service specialists, all other",21-1099,Line item,97.6,105.9,8.3,8.5,0.2,11.8,"$47,390",Bachelor's degree,None,None
Religious workers,21-2000,Summary,479.9,499.0,19.1,4.0,3.7,52.1,"$48,560",—,—,—
Clergy,21-2011,Line item,245.4,255.8,10.5,4.3,5.2,24.4,"$49,720",Bachelor's degree,None,Moderate-term on-the-job training
"Directors, religious activities and education",21-2021,Line item,160.8,166.6,5.8,3.6,1.6,17.7,"$46,980",Bachelor's degree,Less than 5 years,None
"Religious workers, all other",21-2099,Line item,73.7,76.6,2.8,3.8,3.4,10.0,"$37,500",Bachelor's degree,None,None
Legal occupations,23-0000,Summary,"1,368.0","1,499.0",131.0,9.6,11.6,110.0,"$82,430",—,—,—
"Lawyers, judges, and related workers",23-1000,Summary,901.3,981.5,80.1,8.9,15.2,52.3,"$127,540",—,—,—
Lawyers and judicial law clerks,23-1010,Summary,849.4,929.5,80.1,9.4,16.0,49.9,"$127,690",—,—,—
Lawyers,23-1011,Line item,833.1,913.3,80.2,9.6,16.2,48.7,"$127,990",Doctoral or professional degree,None,None
Judicial law clerks,23-1012,Line item,16.2,16.2,-0.1,-0.5,6.5,1.1,"$50,750",Doctoral or professional degree,None,None
"Judges, magistrates, and other judicial workers",23-1020,Summary,52.0,52.0,0.0,0.0,2.4,2.4,"$110,550",—,—,—
"Administrative law judges, adjudicators, and hearing officers",23-1021,Line item,14.5,14.1,-0.4,-2.8,—,0.6,"$102,550",Doctoral or professional degree,5 years or more,Short-term on-the-job training
"Arbitrators, mediators, and conciliators",23-1022,Line item,8.9,9.5,0.6,6.2,13.6,0.5,"$49,410",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
"Judges, magistrate judges, and magistrates",23-1023,Line item,28.5,28.4,-0.2,-0.6,—,1.3,"$148,030",Doctoral or professional degree,5 years or more,Short-term on-the-job training
Legal support workers,23-2000,Summary,466.7,517.6,50.9,10.9,4.5,57.7,"$54,860",—,—,—
Paralegals and legal assistants,23-2011,Line item,352.8,402.7,49.9,14.1,2.8,45.8,"$56,230",Associate's degree,None,None
Miscellaneous legal support workers,23-2090,Summary,113.9,114.9,1.0,0.8,9.7,11.9,"$51,550",—,—,—
"Title examiners, abstractors, and searchers",23-2093,Line item,61.2,62.4,1.2,1.9,10.4,6.0,"$47,310",High school diploma or equivalent,None,Moderate-term on-the-job training
"Legal support workers, all other",23-2099,Line item,52.7,52.5,-0.2,-0.4,8.8,5.9,"$59,790",Associate's degree,None,None
Educational instruction and library occupations,25-0000,Summary,"9,151.2","9,809.3",658.2,7.2,2.1,929.9,"$57,220",—,—,—
Postsecondary teachers,25-1000,Summary,"1,696.6","1,876.1",179.5,10.6,0.3,166.4,"$78,300",—,—,—
"Business teachers, postsecondary",25-1011,Line item,103.4,109.8,6.4,6.2,0.3,9.5,"$94,360",Doctoral or professional degree,None,None
"Math and computer science teachers, postsecondary",25-1020,Summary,101.6,108.3,6.7,6.6,0.2,9.4,"$77,630",—,—,—
"Computer science teachers, postsecondary",25-1021,Line item,47.8,51.2,3.4,7.2,0.2,4.5,"$77,910",Doctoral or professional degree,None,None
"Mathematical science teachers, postsecondary",25-1022,Line item,53.8,57.1,3.2,6.0,0.2,4.9,"$77,580",Doctoral or professional degree,None,None
"Engineering and architecture teachers, postsecondary",25-1030,Summary,53.6,60.2,6.7,12.5,0.2,5.4,"$103,340",—,—,—
"Architecture teachers, postsecondary",25-1031,Line item,7.8,8.4,0.6,7.8,—,0.7,"$95,160",Doctoral or professional degree,None,None
"Engineering teachers, postsecondary",25-1032,Line item,45.8,51.8,6.1,13.3,0.2,4.7,"$104,940",Doctoral or professional degree,None,None
"Life sciences teachers, postsecondary",25-1040,Summary,72.6,80.9,8.4,11.6,0.2,7.2,"$81,980",—,—,—
"Agricultural sciences teachers, postsecondary",25-1041,Line item,10.9,11.7,0.8,7.3,—,1.0,"$95,910",Doctoral or professional degree,None,None
"Biological science teachers, postsecondary",25-1042,Line item,60.2,67.7,7.5,12.4,0.2,6.1,"$81,440",Doctoral or professional degree,None,None
"Forestry and conservation science teachers, postsecondary",25-1043,Line item,1.5,1.6,0.1,8.3,—,0.1,"$82,330",Doctoral or professional degree,None,None
"Physical sciences teachers, postsecondary",25-1050,Summary,61.7,66.4,4.7,7.7,0.2,5.8,"$81,980",—,—,—
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Line item,12.7,13.7,0.9,7.2,—,1.2,"$98,070",Doctoral or professional degree,None,None
"Chemistry teachers, postsecondary",25-1052,Line item,25.8,27.8,2.0,7.7,0.2,2.4,"$79,410",Doctoral or professional degree,None,None
"Environmental science teachers, postsecondary",25-1053,Line item,7.1,7.6,0.5,7.7,—,0.7,"$81,980",Doctoral or professional degree,None,None
"Physics teachers, postsecondary",25-1054,Line item,16.0,17.3,1.3,7.9,—,1.5,"$93,070",Doctoral or professional degree,None,None
"Social sciences teachers, postsecondary",25-1060,Summary,137.6,149.0,11.4,8.3,0.3,13.1,"$79,770",—,—,—
"Anthropology and archeology teachers, postsecondary",25-1061,Line item,6.4,6.9,0.5,8.3,—,0.6,"$97,340",Doctoral or professional degree,None,None
"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,11.7,12.7,1.0,8.5,—,1.1,"$78,910",Doctoral or professional degree,None,None
"Economics teachers, postsecondary",25-1063,Line item,15.3,16.6,1.3,8.4,—,1.5,"$104,940",Doctoral or professional degree,None,None
"Geography teachers, postsecondary",25-1064,Line item,4.3,4.7,0.3,7.6,—,0.4,"$81,440",Doctoral or professional degree,None,None
"Political science teachers, postsecondary",25-1065,Line item,18.2,19.7,1.5,8.4,0.3,1.7,"$81,980",Doctoral or professional degree,None,None
"Psychology teachers, postsecondary",25-1066,Line item,46.4,50.8,4.5,9.6,0.3,4.5,"$77,860",Doctoral or professional degree,None,None
"Sociology teachers, postsecondary",25-1067,Line item,16.0,17.2,1.2,7.6,—,1.5,"$77,980",Doctoral or professional degree,None,None
"Social sciences teachers, postsecondary, all other",25-1069,Line item,19.4,20.5,1.1,5.5,—,1.8,"$77,500",Doctoral or professional degree,None,None
"Health teachers, postsecondary",25-1070,Summary,333.6,411.8,78.1,23.4,0.3,38.8,"$98,070",—,—,—
"Health specialties teachers, postsecondary",25-1071,Line item,246.7,306.1,59.4,24.1,0.3,28.9,"$102,720",Doctoral or professional degree,Less than 5 years,None
"Nursing instructors and teachers, postsecondary",25-1072,Line item,87.0,105.7,18.7,21.5,0.4,9.9,"$77,440",Doctoral or professional degree,Less than 5 years,None
"Education and library science teachers, postsecondary",25-1080,Summary,82.2,89.1,6.9,8.4,0.3,7.8,"$64,540",—,—,—
"Education teachers, postsecondary",25-1081,Line item,76.7,83.2,6.5,8.5,0.3,7.3,"$63,910",Doctoral or professional degree,Less than 5 years,None
"Library science teachers, postsecondary",25-1082,Line item,5.5,5.9,0.4,7.6,—,0.5,"$77,100",Doctoral or professional degree,None,None
"Law, criminal justice, and social work teachers, postsecondary",25-1110,Summary,51.7,56.5,4.7,9.2,0.3,5.0,"$78,330",—,—,—
"Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,16.5,18.2,1.6,9.8,—,1.6,"$64,600",Doctoral or professional degree,None,None
"Law teachers, postsecondary",25-1112,Line item,19.1,20.8,1.7,8.9,0.5,1.8,"$123,470",Doctoral or professional degree,Less than 5 years,None
"Social work teachers, postsecondary",25-1113,Line item,16.1,17.5,1.4,8.9,—,1.5,"$71,010",Doctoral or professional degree,None,None
"Arts, communications, history, and humanities teachers, postsecondary",25-1120,Summary,305.5,329.4,23.9,7.8,0.3,28.8,"$76,840",—,—,—
"Art, drama, and music teachers, postsecondary",25-1121,Line item,121.8,132.5,10.7,8.8,0.3,11.6,"$75,940",Master's degree,None,None
"Communications teachers, postsecondary",25-1122,Line item,34.4,36.9,2.5,7.3,0.2,3.2,"$77,560",Doctoral or professional degree,None,None
"English language and literature teachers, postsecondary",25-1123,Line item,72.4,76.9,4.6,6.3,0.2,6.7,"$75,930",Doctoral or professional degree,None,None
"Foreign language and literature teachers, postsecondary",25-1124,Line item,25.0,27.0,2.0,7.8,0.3,2.4,"$77,030",Doctoral or professional degree,None,None
"History teachers, postsecondary",25-1125,Line item,23.7,25.4,1.7,7.4,0.3,2.2,"$78,130",Doctoral or professional degree,None,None
"Philosophy and religion teachers, postsecondary",25-1126,Line item,28.2,30.6,2.4,8.6,0.5,2.7,"$77,610",Doctoral or professional degree,None,None
Miscellaneous postsecondary teachers,25-1190,Summary,393.2,414.8,21.6,5.5,0.3,35.7,"$64,640",—,—,—
"Family and consumer sciences teachers, postsecondary",25-1192,Line item,3.4,3.6,0.2,6.6,—,0.3,"$79,630",Doctoral or professional degree,None,None
"Recreation and fitness studies teachers, postsecondary",25-1193,Line item,17.1,18.4,1.2,7.1,—,1.6,"$72,440",Doctoral or professional degree,None,None
"Career/technical education teachers, postsecondary",25-1194,Line item,118.8,120.9,2.1,1.8,0.4,10.2,"$59,840",Bachelor's degree,Less than 5 years,None
"Postsecondary teachers, all other",25-1199,Line item,253.8,271.8,18.0,7.1,0.2,23.6,"$78,160",Doctoral or professional degree,None,None
"Preschool, elementary, middle, secondary, and special education teachers",25-2000,Summary,"4,207.6","4,438.1",230.5,5.5,0.4,353.1,"$61,030",—,—,—
Preschool and kindergarten teachers,25-2010,Summary,607.9,686.1,78.2,12.9,1.5,77.3,"$36,710",—,—,—
"Preschool teachers, except special education",25-2011,Line item,483.1,556.0,72.9,15.1,1.8,63.1,"$30,210",Associate's degree,None,None
"Kindergarten teachers, except special education",25-2012,Line item,124.8,130.1,5.3,4.3,0.3,14.2,"$60,900",Bachelor's degree,None,None
Elementary and middle school teachers,25-2020,Summary,"1,980.6","2,060.9",80.3,4.1,0.2,154.3,"$61,390",—,—,—
"Elementary school teachers, except special education",25-2021,Line item,"1,362.3","1,417.1",54.9,4.0,0.2,106.1,"$61,400",Bachelor's degree,None,None
"Middle school teachers, except special and career/technical education",25-2022,Line item,606.5,631.5,25.0,4.1,0.3,47.3,"$61,320",Bachelor's degree,None,None
"Career/technical education teachers, middle school",25-2023,Line item,11.9,12.3,0.4,3.4,—,0.9,"$61,820",Bachelor's degree,Less than 5 years,None
Secondary school teachers,25-2030,Summary,"1,142.7","1,194.2",51.5,4.5,0.2,83.9,"$61,820",—,—,—
"Secondary school teachers, except special and career/technical education",25-2031,Line item,"1,058.3","1,107.0",48.7,4.6,0.2,77.9,"$61,820",Bachelor's degree,None,None
"Career/technical education teachers, secondary school",25-2032,Line item,84.4,87.2,2.8,3.3,—,6.1,"$61,820",Bachelor's degree,Less than 5 years,None
Special education teachers,25-2050,Summary,476.3,496.9,20.6,4.3,0.0,37.6,"$61,820",—,—,—
"Special education teachers, preschool",25-2051,Line item,22.0,23.9,1.8,8.3,—,1.9,"$62,420",Bachelor's degree,None,None
"Special education teachers, kindergarten and elementary school",25-2052,Line item,188.2,195.3,7.2,3.8,0.0,14.7,"$61,640",Bachelor's degree,None,None
"Special education teachers, middle school",25-2057,Line item,79.4,82.2,2.8,3.5,—,6.2,"$61,820",Bachelor's degree,None,None
"Special education teachers, secondary school",25-2058,Line item,147.2,153.4,6.2,4.2,—,11.6,"$62,120",Bachelor's degree,None,None
"Special education teachers, all other",25-2059,Line item,39.5,42.2,2.7,6.8,—,3.2,"$61,720",Bachelor's degree,None,None
Other teachers and instructors,25-3000,Summary,"1,207.4","1,344.3",136.9,11.3,12.9,165.9,"$37,310",—,—,—
"Adult basic education, adult secondary education, and english as a second language instructors",25-3011,Line item,44.9,42.1,-2.8,-6.2,9.6,4.7,"$59,720",Bachelor's degree,None,None
Self-enrichment teachers,25-3021,Line item,347.1,408.3,61.3,17.6,22.0,49.0,"$43,580",High school diploma or equivalent,Less than 5 years,None
"Substitute teachers, short-term",25-3031,Line item,400.4,433.2,32.8,8.2,4.7,50.6,"$30,100",Bachelor's degree,None,None
Tutors,25-3041,Line item,203.4,232.9,29.5,14.5,16.6,35.0,"$36,470","Some college, no degree",None,None
"Teachers and instructors, all other",25-3099,Line item,211.6,227.8,16.2,7.6,10.9,26.6,"$50,540",Bachelor's degree,None,None
"Librarians, curators, and archivists",25-4000,Summary,250.1,259.0,8.9,3.5,0.8,30.3,"$49,060",—,—,—
"Archivists, curators, and museum technicians",25-4010,Summary,33.6,37.7,4.2,12.4,5.0,4.7,"$50,120",—,—,—
Archivists,25-4011,Line item,8.0,8.7,0.7,8.9,4.3,1.1,"$60,050",Master's degree,None,None
Curators,25-4012,Line item,12.9,14.7,1.9,14.4,5.5,1.8,"$60,110",Master's degree,None,None
Museum technicians and conservators,25-4013,Line item,12.7,14.3,1.6,12.7,5.0,1.8,"$47,630",Bachelor's degree,None,None
Librarians and media collections specialists,25-4022,Line item,138.4,146.4,8.0,5.8,0.2,14.9,"$61,190",Master's degree,None,None
Library technicians,25-4031,Line item,78.2,74.9,-3.3,-4.2,—,10.7,"$36,970",Postsecondary nondegree award,None,None
Other educational instruction and library occupations,25-9000,Summary,"1,789.5","1,891.8",102.3,5.7,0.5,214.2,"$30,460",—,—,—
Farm and home management educators,25-9021,Line item,13.1,13.2,0.1,0.5,—,1.2,"$49,990",Master's degree,None,None
Instructional coordinators,25-9031,Line item,205.7,220.8,15.0,7.3,1.4,20.9,"$63,740",Master's degree,5 years or more,None
Teaching assistants,25-9040,Summary,"1,390.9","1,465.4",74.5,5.4,0.3,173.9,"$29,550",—,—,—
"Teaching assistants, postsecondary",25-9044,Line item,155.8,168.3,12.4,8.0,0.3,20.1,"$38,040",Bachelor's degree,None,None
"Teaching assistants, except postsecondary",25-9045,Line item,"1,235.1","1,297.2",62.1,5.0,0.3,153.7,"$29,360","Some college, no degree",None,None
"Educational instruction and library workers, all other",25-9099,Line item,179.7,192.5,12.8,7.1,1.0,18.2,"$46,300",Bachelor's degree,None,None
"Arts, design, entertainment, sports, and media occupations",27-0000,Summary,"2,789.1","2,973.7",184.6,6.6,26.7,316.6,"$51,190",—,—,—
Art and design workers,27-1000,Summary,918.8,939.4,20.5,2.2,31.4,94.5,"$48,220",—,—,—
Artists and related workers,27-1010,Summary,232.7,243.6,10.8,4.6,62.3,26.0,"$80,990",—,—,—
Art directors,27-1011,Line item,121.5,126.2,4.7,3.8,63.7,13.4,"$100,890",Bachelor's degree,5 years or more,None
Craft artists,27-1012,Line item,10.7,11.2,0.5,5.1,63.1,1.2,"$35,930",No formal educational credential,None,Long-term on-the-job training
"Fine artists, including painters, sculptors, and illustrators",27-1013,Line item,27.1,28.8,1.7,6.4,62.5,3.1,"$60,820",Bachelor's degree,None,Long-term on-the-job training
Special effects artists and animators,27-1014,Line item,58.9,62.1,3.2,5.4,63.3,6.7,"$78,790",Bachelor's degree,None,None
"Artists and related workers, all other",27-1019,Line item,14.5,15.2,0.7,4.5,44.9,1.6,"$61,580",No formal educational credential,None,Long-term on-the-job training
Designers,27-1020,Summary,686.1,695.8,9.7,1.4,21.0,68.5,"$46,370",—,—,—
Commercial and industrial designers,27-1021,Line item,29.3,30.3,0.9,3.2,2.9,2.7,"$77,030",Bachelor's degree,None,None
Fashion designers,27-1022,Line item,22.4,23.0,0.6,2.5,12.2,2.3,"$77,450",Bachelor's degree,None,None
Floral designers,27-1023,Line item,44.4,35.1,-9.3,-21.0,18.1,3.8,"$29,880",High school diploma or equivalent,None,Moderate-term on-the-job training
Graphic designers,27-1024,Line item,265.0,271.8,6.8,2.6,18.9,24.8,"$50,710",Bachelor's degree,None,None
Interior designers,27-1025,Line item,93.3,94.2,0.8,0.9,31.8,8.2,"$60,340",Bachelor's degree,None,None
Merchandise displayers and window trimmers,27-1026,Line item,161.6,169.1,7.5,4.6,0.2,20.1,"$32,060",High school diploma or equivalent,None,Short-term on-the-job training
Set and exhibit designers,27-1027,Line item,27.0,28.5,1.4,5.2,72.1,2.7,"$54,860",Bachelor's degree,None,None
"Designers, all other",27-1029,Line item,42.9,43.9,1.0,2.4,75.7,4.0,"$62,310",Bachelor's degree,None,None
"Entertainers and performers, sports and related workers",27-2000,Summary,758.3,853.8,95.5,12.6,24.0,106.2,"$49,470",—,—,—
"Actors, producers, and directors",27-2010,Summary,216.8,233.7,16.9,7.8,15.4,24.5,"$77,080",—,—,—
Actors,27-2011,Line item,50.6,54.7,4.1,8.2,33.2,7.0,—,"Some college, no degree",None,Long-term on-the-job training
Producers and directors,27-2012,Line item,166.2,178.9,12.8,7.7,10.0,17.5,"$79,000",Bachelor's degree,Less than 5 years,None
"Athletes, coaches, umpires, and related workers",27-2020,Summary,273.3,331.9,58.6,21.4,10.2,46.4,"$39,290",—,—,—
Athletes and sports competitors,27-2021,Line item,15.8,21.5,5.7,35.7,17.5,2.9,"$77,300",No formal educational credential,None,Long-term on-the-job training
Coaches and scouts,27-2022,Line item,244.3,293.1,48.8,20.0,9.1,39.9,"$38,970",Bachelor's degree,None,None
"Umpires, referees, and other sports officials",27-2023,Line item,13.2,17.4,4.2,31.7,21.1,3.6,"$35,860",High school diploma or equivalent,None,Moderate-term on-the-job training
Dancers and choreographers,27-2030,Summary,12.4,15.8,3.4,27.1,31.2,2.7,"$40,500",—,—,—
Dancers,27-2031,Line item,6.2,7.7,1.5,24.5,31.3,1.3,—,No formal educational credential,None,Long-term on-the-job training
Choreographers,27-2032,Line item,6.3,8.1,1.9,29.7,31.2,1.4,"$42,700",High school diploma or equivalent,5 years or more,Long-term on-the-job training
"Musicians, singers, and related workers",27-2040,Summary,207.0,216.2,9.1,4.4,40.0,26.5,—,—,—,—
Music directors and composers,27-2041,Line item,55.8,58.5,2.7,4.9,28.2,5.8,"$49,130",Bachelor's degree,Less than 5 years,None
Musicians and singers,27-2042,Line item,151.3,157.7,6.4,4.2,44.4,20.8,—,No formal educational credential,None,Long-term on-the-job training
"Miscellaneous entertainers and performers, sports and related workers",27-2090,Summary,48.8,56.3,7.5,15.3,70.5,6.1,—,—,—,—
"Disc jockeys, except radio",27-2091,Line item,15.3,16.4,1.1,7.2,66.4,1.4,—,High school diploma or equivalent,None,Short-term on-the-job training
"Entertainers and performers, sports and related workers, all other",27-2099,Line item,33.5,39.9,6.4,19.0,72.4,4.7,—,No formal educational credential,None,Short-term on-the-job training
Media and communication workers,27-3000,Summary,763.9,798.5,34.6,4.5,18.3,78.5,"$62,340",—,—,—
Broadcast announcers and radio disc jockeys,27-3011,Line item,25.0,22.2,-2.8,-11.4,—,2.1,"$37,630",Bachelor's degree,None,None
"News analysts, reporters, and journalists",27-3023,Line item,47.1,43.1,-4.1,-8.6,16.5,4.9,"$48,370",Bachelor's degree,None,None
Public relations specialists,27-3031,Line item,276.8,299.2,22.3,8.1,0.8,27.4,"$62,800",Bachelor's degree,None,None
Writers and editors,27-3040,Summary,306.6,310.0,3.4,1.1,35.2,30.8,"$71,640",—,—,—
Editors,27-3041,Line item,108.4,102.9,-5.5,-5.1,11.9,10.2,"$63,350",Bachelor's degree,Less than 5 years,None
Technical writers,27-3042,Line item,55.4,58.4,3.1,5.5,10.3,5.4,"$78,060",Bachelor's degree,Less than 5 years,Short-term on-the-job training
Writers and authors,27-3043,Line item,142.8,148.7,5.9,4.1,62.5,15.2,"$69,510",Bachelor's degree,None,Long-term on-the-job training
Miscellaneous media and communication workers,27-3090,Summary,108.3,124.0,15.7,14.5,20.2,13.3,"$49,980",—,—,—
Interpreters and translators,27-3091,Line item,69.4,83.4,14.0,20.2,20.2,9.2,"$49,110",Bachelor's degree,None,None
Court reporters and simultaneous captioners,27-3092,Line item,18.5,18.7,0.3,1.4,32.4,2.0,"$60,380",Postsecondary nondegree award,None,Short-term on-the-job training
"Media and communication workers, all other",27-3099,Line item,20.5,21.9,1.4,7.0,9.3,2.1,"$49,900",High school diploma or equivalent,None,Short-term on-the-job training
Media and communication equipment workers,27-4000,Summary,348.0,382.0,34.0,9.8,38.3,37.4,"$48,920",—,—,—
"Broadcast, sound, and lighting technicians",27-4010,Summary,119.9,132.1,12.1,10.1,13.1,13.2,"$48,790",—,—,—
Audio and video technicians,27-4011,Line item,68.6,79.3,10.7,15.7,12.3,8.1,"$48,820",Postsecondary nondegree award,None,Short-term on-the-job training
Broadcast technicians,27-4012,Line item,30.5,29.9,-0.6,-2.0,15.0,2.8,"$44,740",Associate's degree,None,Short-term on-the-job training
Sound engineering technicians,27-4014,Line item,15.2,16.3,1.1,7.5,12.9,1.6,"$60,500",Postsecondary nondegree award,None,Short-term on-the-job training
Lighting technicians,27-4015,Line item,5.7,6.5,0.8,14.7,13.6,0.7,"$51,470",Postsecondary nondegree award,None,Short-term on-the-job training
Photographers,27-4021,Line item,125.6,136.8,11.2,8.9,68.7,12.7,"$38,950",High school diploma or equivalent,None,Moderate-term on-the-job training
"Television, video, and film camera operators and editors",27-4030,Summary,81.7,91.4,9.6,11.8,35.6,9.4,"$60,360",—,—,—
"Camera operators, television, video, and film",27-4031,Line item,33.7,36.7,3.0,8.9,35.3,3.7,"$49,230",Bachelor's degree,None,None
Film and video editors,27-4032,Line item,48.1,54.7,6.6,13.8,35.8,5.7,"$62,680",Bachelor's degree,None,None
"Media and communication equipment workers, all other",27-4099,Line item,20.7,21.7,1.0,5.0,10.3,2.1,"$63,250",High school diploma or equivalent,None,Short-term on-the-job training
Healthcare practitioners and technical occupations,29-0000,Summary,"9,228.2","10,023.5",795.3,8.6,2.5,647.3,"$75,040",—,—,—
Healthcare diagnosing or treating practitioners,29-1000,Summary,"6,118.5","6,681.0",562.5,9.2,3.3,380.4,"$81,270",—,—,—
Chiropractors,29-1011,Line item,53.2,58.7,5.5,10.4,30.9,2.1,"$75,000",Doctoral or professional degree,None,None
Dentists,29-1020,Summary,146.2,154.6,8.4,5.7,12.5,5.1,"$163,220",—,—,—
"Dentists, general",29-1021,Line item,127.6,135.4,7.7,6.1,12.8,4.5,"$160,370",Doctoral or professional degree,None,None
Oral and maxillofacial surgeons,29-1022,Line item,6.3,6.6,0.3,4.6,12.5,0.2,">=$208,000",Doctoral or professional degree,None,Internship/residency
Orthodontists,29-1023,Line item,6.0,6.3,0.3,4.5,12.9,0.2,">=$208,000",Doctoral or professional degree,None,Internship/residency
Prosthodontists,29-1024,Line item,0.9,1.0,0.0,5.1,13.0,0.0,"$100,950",Doctoral or professional degree,None,Internship/residency
"Dentists, all other specialists",29-1029,Line item,5.4,5.4,0.0,0.8,7.1,0.2,"$175,160",Doctoral or professional degree,None,Internship/residency
Dietitians and nutritionists,29-1031,Line item,74.7,79.7,5.1,6.8,7.9,5.6,"$61,650",Bachelor's degree,None,Internship/residency
Optometrists,29-1041,Line item,41.4,45.4,4.0,9.6,4.5,1.7,"$124,300",Doctoral or professional degree,None,None
Pharmacists,29-1051,Line item,323.5,331.1,7.7,2.4,1.0,13.6,"$128,570",Doctoral or professional degree,None,None
